Energy_eV,Cl,Hg,S
-8.995000000000001,5.650669279587114,33.37995158119914,44.94661253622016
-8.985,6.0425699643543505,35.60774428131764,47.97151401101161
-8.975000000000001,6.406562422159938,37.6668484148231,50.7774759981189
-8.965,6.738745543701329,39.542778129287214,53.34669443260583
-8.955000000000002,7.036763485342661,41.23150372791815,55.67532754249069
-8.945,7.299855651090202,42.7389640768672,57.77264030889921
-8.935000000000002,7.528789873709348,44.07971023596108,59.65896701301549
-8.925,7.725684770306537,45.274805531680805,61.36268455550551
-8.915000000000003,7.893736720710622,46.349184167151385,62.91649469347483
-8.905000000000001,8.03687491983601,47.32872563791709,64.35338612293906
-8.895000000000003,8.159373800157987,48.23732960482351,65.70267917880253
-8.885000000000002,8.265455343036995,49.09427286776375,66.98654382319424
-8.875000000000004,8.358914178025438,49.91209774525567,68.21732795908191
-8.865000000000002,8.44279593404082,50.69522388925431,69.3959451860916
-8.855000000000004,8.519154316144181,51.439400366414205,70.51145981485693
-8.845000000000002,8.58890530871249,52.132030381322785,71.54188530203385
-8.835000000000004,8.651788399775455,52.75331654751803,72.45609375311956
-8.825000000000003,8.706435562733837,53.278098909483155,73.21663116814378
-8.815000000000005,8.750539768957022,53.67819839443078,73.78315569740597
-8.805000000000003,8.781106874850796,53.925040362076786,74.11617103764405
-8.795000000000005,8.794768564422247,53.99231921750644,74.18071709730366
-8.785000000000004,8.788130172848696,53.85847570359401,73.94970409548637
-8.775000000000006,8.758125934457846,53.508790861459346,73.40662954867742
-8.765000000000004,8.702355435670436,52.936949766621034,72.54749231331309
-8.755000000000006,8.619378434096964,52.14598730618038,71.38180408074845
-8.745000000000005,8.508950085173064,51.148589847258044,69.93268569298999
-8.735000000000007,8.372184190662434,49.966783132886206,68.23611309663929
-8.725000000000005,8.211637522269225,48.63108171713144,66.33943727921553
-8.715000000000007,8.031312887082878,47.17920434370138,64.29933877079975
-8.705000000000005,7.836581969970645,45.65447120608747,62.179388687305384
-8.695000000000007,7.63403104963699,44.10399427625153,60.04737730229246
-8.685000000000006,7.4312337483854165,42.57675483494631,57.97254379741705
-8.675000000000008,7.236455648094845,41.121638934516085,56.022805675972506
-8.665000000000006,7.058296646166663,39.78547856663072,54.262052741675056
-8.655000000000008,6.9052790508946575,38.61113007831701,52.74754702458129
-8.645000000000007,6.785393091714716,37.6356163525424,51.52746239260678
-8.635000000000009,6.705616792373368,36.88836710228873,50.638607688356906
-8.625000000000007,6.671433558998763,36.389610683939814,50.104402444912076
-8.615000000000009,6.686377408557986,36.14899636412826,49.93320776670525
-8.605000000000008,6.751641177294667,36.164550935754505,50.117147067898664
-8.59500000000001,6.86578583571611,36.422090007492734,50.63157123964534
-8.585000000000008,7.024587878927307,36.895204928402315,51.43532084483837
-8.57500000000001,7.2210557868829,37.54592620622799,52.471907810549084
-8.565000000000008,7.445635575647451,38.326122039274786,53.67167944335303
-8.55500000000001,7.686610130918108,39.1796289891739,54.954942765659275
-8.545000000000009,7.93067879186347,40.04503768358769,56.2359268825787
-8.53500000000001,8.163684660909837,40.858979656006454,57.42735908066909
-8.52500000000001,8.371439844885735,41.55969343042033,58.445342188492106
-8.515000000000011,8.540585759950737,42.09059975620494,59.21416109893745
-8.50500000000001,8.659418807588471,42.403596145969594,59.67062647931037
-8.495000000000012,8.718612418458703,42.46179425782775,59.76758918760485
-8.48500000000001,8.711774905505044,42.24146998191721,59.47632860195315
-8.475000000000012,8.63579790387761,41.73307012888322,58.78762400664817
-8.46500000000001,8.490970542538124,40.9412119486098,57.71144683891485
-8.455000000000013,8.280857310031362,39.883710207243126,56.275346076528905
-8.445000000000011,8.01195994241477,38.5897583764176,54.52172181170978
-8.435000000000013,7.69320280104461,37.097464142164014,52.50427779632132
-8.425000000000011,7.335294898092416,35.45098653714128,50.2840017087737
-8.415000000000013,6.950028612588946,33.69753842383566,47.92503736268611
-8.405000000000012,6.549574893432117,31.884504322872907,45.490787688098905
