Energy_eV,Cl,S,Zn
-8.995000000000001,22.99019467808794,58.00629731168208,81.77730818416981
-8.985,24.639160484723803,62.17011978964971,87.5773915303255
-8.975000000000001,26.200320880054967,66.08854759139928,93.01490482202364
-8.965,27.655834122054834,69.71009665201728,98.01663451011957
-8.955000000000002,28.991720447078063,72.99389851188221,102.52480852213509
-8.945,30.19820376794307,75.91108402517456,106.49908125105111
-8.935000000000002,31.269848247543454,78.44555146244717,109.9176149206389
-8.925,32.20550628521956,80.59410164236704,112.77722821701103
-8.915000000000003,33.00810352808794,82.3659607409875,115.09264036574497
-8.905000000000001,33.68429098011543,83.78174528038917,116.89489095165723
-8.895000000000003,34.243994715152745,84.87195205056851,118.22906016047156
-8.885000000000002,34.69989131089564,85.67507752112913,119.15144893215168
-8.875000000000004,35.06683341708397,86.23548623883504,119.72640252167568
-8.865000000000002,35.36124631566585,86.60115565209918,120.02297343699036
-8.855000000000004,35.60051402543564,86.8214257998371,120.1116204037571
-8.845000000000002,35.802372974379914,86.94487653307962,120.06112911739544
-8.835000000000004,35.984332377870956,87.01744274138909,119.93591884991898
-8.825000000000003,36.16314249625629,87.08085997821058,119.79386783115163
-8.815000000000005,36.35433377609792,87.17150973090656,119.68475164921861
-8.805000000000003,36.57185025012668,87.31970647616919,119.64934514645935
-8.795000000000005,36.82779839097035,87.549439016625,119.71919221807204
-8.785000000000004,37.13232721436716,87.87854808899661,119.91700251657402
-8.775000000000006,37.49364673567881,88.31929273279712,120.25759225564369
-8.765000000000004,37.91818047946142,88.87923135739642,120.74925079815625
-8.755000000000006,38.4108347964914,89.56232175059063,121.39538783294623
-8.745000000000005,38.97535484896594,90.37012916717913,122.19629952625587
-8.735000000000007,39.61472605717121,91.30302454315859,123.15088732732362
-8.725000000000005,40.33157224650913,92.36125676840018,124.25817070458609
-8.715000000000007,41.12849903673358,93.54579419842335,125.51845484728055
-8.705000000000005,42.00833397552094,94.85885087332328,126.93404534018413
-8.695000000000007,42.974223667204974,96.30404114505963,128.50944220570565
-8.685000000000006,44.029562111941736,97.88614071767697,130.25099285236814
-8.675000000000008,45.17774242562926,99.6104698935467,132.16603394273653
-8.665000000000006,46.421744305196036,101.48195295933175,134.26160197664151
-8.655000000000008,47.76358994061899,103.50394270106878,136.5428371524885
-8.645000000000007,49.20371932797478,105.6769275763694,139.01124056646418
-8.635000000000009,50.740349980487885,107.99725800676524,141.66296727561556
-8.625000000000007,52.368894065967545,110.45603518211954,144.48734434084224
-8.615000000000009,54.081506747583774,113.03829926924772,147.46579211745416
-8.605000000000008,55.866832395380506,115.72263376907986,150.5712987624665
-8.59500000000001,57.7100006008882,118.48127007548749,153.76855384817597
-8.585000000000008,59.592902647917896,121.28073348512038,157.01479043377782
-8.57500000000001,61.49475315168355,124.08302261698358,160.26132073232327
-8.565000000000008,63.39291351763313,126.84726297918522,163.4556845017664
-8.55500000000001,65.2639266535831,129.53172736109718,166.54426796195622
-8.545000000000009,67.0846890611326,132.0960759636836,169.47520083881778
-8.53500000000001,68.83366983939203,134.50364231198614,172.20130577800015
-8.52500000000001,70.49207842689815,136.72358051977648,174.68286213785143
-8.515000000000011,72.04488529911612,138.7326972726758,176.88995729462968
-8.50500000000001,73.48161236040212,140.51681784029563,178.80423279268007
-8.495000000000012,74.7968311895668,142.07157723924564,180.4198869714162
-8.48500000000001,75.99033521518105,143.40258102233253,181.74386456786192
-8.475000000000012,77.06698300216674,144.52493910743016,182.79523965274922
-8.46500000000001,78.03624032733558,145.46223368336248,183.60387234857183
-8.455000000000013,78.91147483886864,146.24503159724324,184.2084832731473
-8.445000000000011,79.70907564123169,146.9090867426031,184.65433490289013
-8.435000000000013,80.4474790030851,147.4933947107321,184.99073075741816
-8.425000000000011,81.14617986106798,148.03825880098452,185.26853942344695
-8.415000000000013,81.82479777043879,148.5835047869654,185.53792260321518
-8.405000000000012,82.50224778073066,149.1669457639365,185.84639977561724
-8.395000000000014,83.19604482810114,149.823154275694,186.23732465950135
-8.385000000000012,83.92174857782008,150.58255417089322,186.7487899146875
-8.375000000000014,84.69253795748077,151.47080652626258,187.41292571610745
-8.365000000000013,85.51889372351766,152.5084382626468,188.25552250392477
-8.355000000000015,86.40836466680639,153.71065196824276,189.29589269733526
-8.345000000000013,87.36539810899198,155.08726096191003,190.54689085883706
-8.335000000000015,88.3912261154387,156.6427116572931,192.01503313210378
-8.325000000000014,89.48381205100925,158.3761802169929,193.7006879811477
-8.315000000000015,90.63787389259254,160.28175540856319,195.59834281369038
-8.305000000000014,91.84500756489817,162.34873776520158,197.6969765262356
-8.295000000000016,93.09393308344266,164.56209152215735,199.98057977758958
-8.285000000000014,94.37087776931146,166.90307799915914,202.42885956173257
-8.275000000000016,95.66009544621288,169.3500780510776,205.0181430445358
-8.265000000000015,96.944501225497,171.87958092077542,207.72246207631974
-8.255000000000017,98.20638218730589,174.4672835466455,210.51476153243527
-8.245000000000015,99.42812914987083,177.08921527238894,213.3681401609345
-8.235000000000017,100.59292725811437,179.7227845709694,216.25700988270904
-8.225000000000016,101.68534532717278,182.34764148905288,219.15805426510718
-8.215000000000018,102.69177585004851,184.9462638366079,222.05088161021945
-8.205000000000016,103.60069749365482,187.504205281468,224.9183014204216
-8.195000000000018,104.4027563903779,190.00998515224325,227.7462001160538
-8.185000000000016,105.09068736342323,192.45464653751188,230.52304546723323
-8.175000000000018,105.65911718686775,194.83105394883853,233.2391008169179
-8.165000000000017,106.10430567160373,197.13303754016118,235.88547173862636
-8.155000000000019,106.4238847972028,199.35451231578168,238.4531329199858
-8.145000000000017,106.61665098796088,201.48870489028013,240.93208808599934
-8.13500000000002,106.68245230356743,203.52760681763047,243.3108000757323
-8.125000000000018,106.62219338835956,205.46174446814774,245.57599419280498
-8.11500000000002,106.43795979619406,207.28031514993188,247.7128905800006
-8.105000000000018,106.13324313221015,208.97169320842733,249.70586716040654
-8.09500000000002,105.71323216154234,210.52426419402073,251.5395007765782
-8.085000000000019,105.18512453921419,211.92750544897433,253.19988725450912
-8.07500000000002,104.55840991913445,213.17320208791978,254.6761066286435
-8.065000000000019,103.84507763808598,214.2566711697979,255.9616811750373
-8.055000000000021,103.05970982458727,215.17786488629048,257.05587247656626
-8.04500000000002,102.21943200633544,215.94223504570033,257.96467856328326
-8.035000000000021,101.34370626548453,216.56126375284367,258.70142045970533
-8.02500000000002,100.45396504504099,217.05259570764252,259.28684517842066
-8.015000000000022,99.57309554364343,217.43974225342828,259.748714694462
-8.00500000000002,98.72479444464622,217.7513625902414,260.1208932045069
-7.995000000000021,97.93282020553994,218.0201603699321,260.44198420464164
-7.985000000000022,97.22017540078846,218.28146197656775,260.7536018607326
-7.975000000000022,96.60825505397025,218.57156483091572,261.0983862158201
-7.965000000000022,96.11599900066344,218.92595947631455,261.51788841996756
-7.955000000000022,95.75908750538427,219.37753795005494,262.05046051004996
-7.9450000000000225,95.5492198145067,219.95490316660891,262.7292847283932
-7.935000000000023,95.49351496661654,220.68088983108046,263.5806703127149
-7.925000000000023,95.59407260057858,221.5713966897182,264.62273124940384
-7.915000000000023,95.84772806480821,222.6346125395949,265.86453662301545
-7.905000000000023,96.24603012044061,223.87069434502922,267.3057959986571
-7.8950000000000236,96.77546035148414,225.27192553957605,268.93710636720414
-7.885000000000024,97.41790080357646,226.82334749262225,270.7407461688475
-7.875000000000024,98.15134067864034,228.50381963946734,272.69195863961886
