Energy_eV,Cl,Te,Zn
-8.995000000000001,47.45919981251968,79.68800294177913,112.70412896991758
-8.985,50.822402712568824,85.31496394275865,120.5679143241193
-8.975000000000001,54.07473025770308,90.76572567706043,128.15940555227917
-8.965,57.20160457329306,96.02301846457608,135.4532181505336
-8.955000000000002,60.19294116373436,101.07780767239416,142.43630395544494
-8.945,63.04143832220997,105.92592349391194,149.1032660495543
-8.935000000000002,65.74067497205723,110.56432265192757,155.45111855791234
-8.925,68.28329614572706,114.98752028977995,161.47424644779187
-8.915000000000003,70.65954560339469,119.1847023005557,167.16028311085637
-8.905000000000001,72.85634925110021,123.13792943919947,172.48748640483947
-8.895000000000003,74.85707067815527,126.82169095106264,177.42397967831224
-8.885000000000002,76.64196465846857,130.20388125938018,181.92896701390106
-8.875000000000004,78.18926043133688,133.2480861558018,185.95577041698454
-8.865000000000002,79.47672724028939,135.91690138284582,189.45630813252492
-8.855000000000004,80.48351979064788,138.17588751380407,192.38646721807032
-8.845000000000002,81.19207616008416,139.9977033650201,194.71173775749895
-8.835000000000004,81.58984554764679,141.3659591451338,196.41247519910274
-8.825000000000003,81.67065416387526,142.27838469574425,197.48823337614766
-8.815000000000005,81.43556776312016,142.7490052703062,197.9607464079153
-8.805000000000003,80.89317071430305,142.80914111453416,197.87530990658883
-8.795000000000005,80.05924614756549,142.50718036510767,197.30049633054233
-8.785000000000004,78.9559028011561,141.90720158191286,196.3263136195347
-8.775000000000006,77.610246555368,141.08662974211916,195.06106258546262
-8.765000000000004,76.05273473883007,140.13318877373234,193.6272546704775
-8.755000000000006,74.31537692291747,139.14145962482684,192.1570110329767
-8.745000000000005,72.4299558582585,138.2093639073168,190.78737493864108
-8.735000000000007,70.42643599547522,137.43487075923417,189.65593477514687
-8.725000000000005,68.33170500760481,136.91317268569668,188.8970807590595
-8.715000000000007,66.16875727158035,136.73450089133007,188.63911349901784
-8.705000000000005,63.956380109324996,136.9826600450587,189.00229836436316
-8.695000000000007,61.7093480372386,137.73426612859043,190.09782931383782
-8.685000000000006,59.43907308944908,139.05857959293894,192.02754377354526
-8.675000000000008,57.15460718708982,141.01775010835433,194.88413048037188
-8.665000000000006,54.86385231960782,143.66723818792153,198.75150734924057
-8.655000000000008,52.5748117433553,147.0561598141648,203.7050253158729
-8.645000000000007,50.296714103901515,151.2273160989593,209.81118065358115
-8.635000000000009,48.040862999807175,156.21671967742543,217.12659036398918
-8.625000000000007,45.821104377006826,162.052507125052,225.69609470979634
-8.615000000000009,43.653857609913715,168.75322244522727,235.54998442884914
-8.605000000000008,41.55771537783489,176.32555831280033,246.700490919152
-8.59500000000001,39.55267382463296,184.76173625293094,259.13780803271374
-8.585000000000008,37.65909995231644,194.03678243456713,272.8260179679775
-8.57500000000001,35.89657165708518,204.10600324166802,287.6993587920874
-8.565000000000008,34.28273408784203,214.90297914704865,303.6592902766436
-8.55500000000001,32.83230421247594,226.33837581989584,320.57278663239015
-8.545000000000009,31.556326824373066,238.29982091844946,338.2722132649611
-8.53500000000001,30.461745264725927,250.65301968652017,356.5570377569891
-8.52500000000001,29.551305680457954,263.2441900569855,375.19749326308556
-8.515000000000011,28.82377152568557,275.90379676527374,393.9401666140237
-8.50500000000001,28.27439102521896,288.451461899082,412.5153346053287
-8.495000000000012,27.895538364247837,300.70183338306475,430.6457302296692
-8.48500000000001,27.677441098014903,312.47110921229137,448.056295084185
-8.475000000000012,27.608911098990475,323.58384919788296,464.48437325568125
-8.46500000000001,27.67801182952126,333.87966255872203,479.68973372016615
-8.455000000000013,27.872617160649543,343.2193435554692,493.46378038562875
-8.445000000000011,28.180842146875698,351.4900425905404,505.6373281292025
-8.435000000000013,28.59135006357798,358.6091095401607,516.0863941896733
-8.425000000000011,29.093559268541167,364.5263299288664,524.7355780113784
-8.415000000000013,29.67778575785144,369.22438981605103,531.5587746509246
-8.405000000000012,30.335361536639976,372.71754456305615,536.5771761408687
-8.395000000000014,31.05876516296848,375.04861814049826,539.8547439478356
-8.385000000000012,31.84179009285027,376.2846077105729,541.4915603725012
-8.375000000000014,32.679760563590776,376.5112951714239,541.6156607433443
-8.365000000000013,33.569786012093104,375.82735584192454,540.3740853888976
-8.355000000000015,34.51102599596495,374.3384904114126,537.9239492641016
-8.345000000000013,35.50492085252705,372.15208163066245,534.424295304213
-8.335000000000015,36.55533129842058,369.37279204982383,530.0293746500536
-8.325000000000014,37.66852487918472,366.0993824967114,524.8837957458005
-8.315000000000015,38.85295011800184,362.4228603925267,519.1197303249727
-8.305000000000014,40.11875115945595,358.4258860686914,512.856092122318
-8.295000000000016,41.47699654506416,354.1832003397922,506.19935265219397
-8.285000000000014,42.93862436183066,349.76271256477577,499.2454645253879
-8.275000000000016,44.513140160313796,345.22682442952515,492.0822553877874
-8.265000000000015,46.207140497188696,340.63357067101657,484.7916503439433
-8.255000000000017,48.02276963145765,336.03723272206713,477.45117722295856
-8.245000000000015,49.956245229126246,331.48821227592947,470.1343903889678
-8.235000000000017,51.996606387825416,327.03211710953195,462.9100843051825
-8.225000000000016,54.1248400353622,322.7081833559904,455.8404182557904
-8.215000000000018,56.31352727067353,318.5473077811313,448.9782968945938
-8.205000000000016,58.52711889052304,314.57006524563974,442.36451090696744
-8.195000000000018,60.72290083543052,310.78512325360805,436.0252124303748
-8.185000000000016,62.8526495748647,307.1884311260092,429.9702706935639
-8.175000000000018,64.86491053766972,303.7634616998263,424.19293115373137
-8.165000000000017,66.70776694573746,300.48263519766306,418.67100815148297
-8.155000000000019,68.3319096197454,297.30988253993723,413.36960994132664
-8.145000000000017,69.69377763861834,294.20413690611315,408.24516435733244
-8.13500000000002,70.75852060322984,291.1234045158513,403.25032040239256
-8.125000000000018,71.502538622176,288.02897936524266,398.3391751584421
-8.11500000000002,71.91538597211101,284.8893439415412,393.47223382897187
-8.105000000000018,72.0008756647918,281.6833400336838,388.62055615501936
-8.09500000000002,71.77728928945184,278.40229160529685,383.7686634350018
-8.085000000000019,71.27667213049202,275.05089798189897,378.91595407093814
-8.07500000000002,70.54326956857525,271.646868090928,374.0765722662794
-8.065000000000019,69.63122935653341,268.21941201200985,369.2778631183068
-8.055000000000021,68.60174899406178,264.80682440417024,364.5577006756725
-8.04500000000002,67.51988356634817,261.4534712435509,359.9610744773893
-8.035000000000021,66.45124488523058,258.2065203216973,355.5363561672104
-8.02500000000002,65.45881779267333,255.11273886327163,351.3316435491553
-8.015000000000022,64.60009637572729,252.21562721185387,347.3915070020455
-8.00500000000002,63.92470550220775,249.55307940509326,343.75436103514994
-7.995000000000021,63.47262634739225,247.15567515749893,340.45057296442417
-7.985000000000022,63.27309352365403,245.04562781946788,337.5013206706676
-7.975000000000022,63.34418077137233,243.2363503147026,334.9181366448347
-7.965000000000022,63.69304583120117,241.73256180565832,332.7030333680272
-7.955000000000022,64.31676592231736,240.5308422532901,330.84909510840976
-7.9450000000000225,65.2036648701813,239.62054555901108,329.3414362709151
-7.935000000000023,66.33501197629887,238.9849967045103,328.15845483071433
-7.925000000000023,67.68696098370422,238.60291513945742,327.27333795793015
-7.915000000000023,69.23259419408305,238.4500175227768,326.6557941776452
-7.905000000000023,70.94394088101299,238.5007525578285,326.273984991488
-7.8950000000000236,72.79384948710613,238.7301077538139,326.0966072094504
-7.885000000000024,74.75760859480313,239.11540522856842,326.09503957287666
-7.875000000000024,76.81423127991721,239.63797714169027,326.24542259410725
-7.865000000000024,78.94734016227886,240.28458878580233,326.53050048524915
-7.855000000000024,81.14561517465674,241.0484664831735,326.941030140332
-7.845000000000025,83.4027916104219,241.9297941382838,327.4765633317235
-7.835000000000025,85.71722115984834,242.93556937706597,328.1454390633467
-7.825000000000025,88.09103222849632,244.07875674906455,328.96388249128233
-7.815000000000025,90.52894685951182,245.3767370470513,329.9541889140862
-7.8050000000000255,93.03682938259306,246.84912131010935,331.1420660167185
-7.795000000000026,95.62005619304875,248.5150670357927,332.55330265524907
-7.785000000000026,98.2818068638697,250.39029406657596,334.2100157414809
-7.775000000000026,101.02138431641536,252.4840413183383,336.12678773381845
-7.765000000000026,103.83267614016982,254.79622788117035,338.3070384615006
-7.7550000000000265,106.70287013137654,257.31508046831203,340.7399728723774
-7.745000000000027,109.61153396198718,260.0154636657637,343.39841098855777
-7.735000000000027,112.53016030952213,262.8581021262322,346.2377414599757
-7.725000000000027,115.42226316963351,265.78981874505115,349.1961518925045
-7.715000000000027,118.24408693234763,268.7448353008876,352.19618576097895
-7.705000000000028,120.94595628508662,271.64709834738784,355.14756649637593
-7.695000000000028,123.47425248786074,274.41351020054316,357.95112398056756
-7.685000000000028,125.77395206207768,276.9578697707948,360.50356664352836
-7.675000000000028,127.79161121809294,279.195267527415,362.7027720938349
-7.6650000000000285,129.47862869881973,281.0466389172974,364.45322739971346
-7.655000000000029,130.79457729161712,282.4431653080775,365.6712408710208
-7.645000000000029,131.71036616150272,283.3302228624973,366.28957130438516
-7.635000000000029,132.21098739273768,283.6706167050852,366.26117531978406
-7.625000000000029,132.29761365221987,283.44689634964067,365.56185223187333
-7.6150000000000295,131.9888499673595,282.66262200248,364.19165953026356
-7.60500000000003,131.32099860726368,281.34253162448294,362.1750694457549
-7.59500000000003,130.34726674818,279.53163655019455,359.5599271238525
-7.58500000000003,129.13592495032412,277.29334091529415,356.4153441425033
-7.57500000000003,127.7675026699815,274.70673119570984,352.8287112042908
-7.565000000000031,126.33117764765193,271.86321393980865,348.9020386364104
-7.555000000000031,124.92057297270195,268.862692745741,344.74783495411606
-7.545000000000031,123.62921484734849,265.8094730810341,340.4847178690651
-7.535000000000031,122.54592369149985,262.8080709327151,336.23292659708716
-7.525000000000031,121.75041140007819,259.95908429196203,332.1098773326593
-7.515000000000032,121.3093399762861,257.35526999726306,328.22588205523016
-7.505000000000032,121.27306403857791,255.07795537974465,324.68013834487715
-7.495000000000032,121.67323484396033,253.19390487644995,321.5570950831887
-7.485000000000032,122.52138953448811,251.7527543870695,318.9233030177521
-7.4750000000000325,123.80858928839395,250.7851172009386,316.82486509764436
-7.465000000000033,125.50610698434097,250.30145100602516,315.2856033088698
-7.455000000000033,127.56710216321325,250.2917528712471,314.30605120614683
-7.445000000000033,129.92916219835735,250.72611706635558,313.8633611620956
-7.435000000000033,132.5175377394448,251.55615034888154,313.91218192119857
-7.425000000000034,135.24886185029436,252.7171942629767,314.3865174516309
-7.415000000000034,138.03511957109134,254.1312588908733,315.2025265677688
-7.405000000000034,140.78763057978733,255.71053264305237,316.26216973343554
-7.395000000000034,143.42082316499327,257.36130266128464,317.45756026460833
-7.385000000000034,145.85561162160639,258.9881032306964,318.67583629997614
-7.375000000000035,148.022237861673,260.4979061031846,319.80434029151183
-7.365000000000035,149.86249580575443,261.8041754748632,320.73587549664984
-7.355000000000035,151.3313168111299,262.83062838229745,321.37380355154266
-7.345000000000035,152.39774829612347,263.51456427221933,321.63675208468834
-7.3350000000000355,153.04539872954183,263.80965110053404,321.4627144149576
-7.325000000000036,153.27244491388907,263.6880759480103,320.81234271765135
-7.315000000000036,153.09129936682712,263.14198375843284,319.6712603204681
-7.305000000000036,152.52801731454645,262.18413838288365,318.0512476487223
-7.295000000000036,151.62148856486533,260.8477477525525,315.9901904652605
-7.285000000000037,150.42241661006554,259.1854036317444,313.55072001419927
-7.275000000000037,148.99204508379924,257.2671010688173,310.81752448250325
-7.265000000000037,147.40056014408432,255.1773284658943,307.89337157586243
-7.255000000000037,145.72508533079667,253.01126000366807,304.89395354934044
-7.245000000000037,144.04719893853743,250.87013935228032,301.9417472509341
-7.235000000000038,142.44994465905881,248.85601501314807,299.15916833162913
-7.225000000000038,141.01437082962812,247.06606711086118,296.6613833440711
-7.215000000000038,139.81571376093876,245.58684312860362,294.5492158337054
-7.205000000000038,138.91942407666056,244.48878355150285,292.90263092240366
-7.1950000000000385,138.37730750111714,243.8214546270991,291.77529566964796
-7.185000000000039,138.22409918127906,243.6099032229008,291.19068045917703
-7.175000000000039,138.47480241506761,243.85250099644287,291.140085240088
-7.165000000000039,139.1230925896554,244.5205508281977,291.58284546500215
-7.155000000000039,140.14101554358936,245.55979377730762,292.4488049459379
-7.1450000000000395,141.48010331036272,246.89379251133425,293.64295211633987
-7.13500000000004,143.0739016929129,248.42899518234245,295.05192264759756
-7.12500000000004,144.84176938255465,250.06112254183495,296.5518972580836
-7.11500000000004,146.6936844452843,251.68239052938793,298.0172896895623
-7.10500000000004,148.53569639188765,253.1889967060818,299.3295423785123
-7.095000000000041,150.2756022183846,254.4882716068468,300.385335364226
-7.085000000000041,151.82840875491064,255.50492768959367,301.1035681213493
-7.075000000000041,153.12117136517458,256.1859238353722,301.4305867507709
-7.065000000000041,154.09686490088671,256.5035907398405,301.343286088595
-7.0550000000000415,154.71703698699133,256.4568162984779,300.8498993770495
-7.045000000000042,154.96310393020917,256.07025294665266,299.9884774985635
-7.035000000000042,154.83626311919522,255.39166460315417,298.8232372605435
-7.025000000000042,154.35610139677692,254.48766615594292,297.4391094014608
-7.015000000000042,153.55806787507026,253.438214333276,295.9349323659762
-7.0050000000000425,152.49004670463853,252.33028083570662,294.41581306805676
-6.995000000000043,151.2083084168068,251.25117622044806,292.9852108003914
-6.985000000000043,149.77313847027796,250.2819985128828,291.7372981916497
-6.975000000000043,148.2444413276801,249.49165766991638,290.75011827164764
-6.965000000000043,146.67760148603392,248.93187999393794,290.0799942019442
-6.955000000000044,145.11985314808535,248.63352917460696,289.75756255168966
-6.945000000000044,143.60737080595942,248.60449603317187,289.78569607758453
-6.935000000000044,142.1632461747237,248.82931022984718,290.1394616271516
-6.925000000000044,140.7964640871999,249.2705175399241,290.76812751781165
-6.9150000000000444,139.50193208466283,249.87175028354284,291.5990984793916
-6.905000000000045,138.26155648423943,250.56230215716903,292.54352278053125
-6.895000000000045,137.0462932116886,251.26290970420052,293.5031949955865
-6.885000000000045,135.81903717270313,251.89234967912154,294.37827939507724
-6.875000000000045,134.53815306245096,252.3743933348457,295.0753130370771
-6.8650000000000455,133.1613979724437,252.64462262981164,295.51492199639256
-6.855000000000046,131.64994723008022,252.65661431732795,295.6387027479826
-6.845000000000046,129.97221479169605,252.38703701167907,295.4147826805812
-6.835000000000046,128.10716247059906,251.83928071075542,294.84167318056853
-6.825000000000046,126.04682081308736,251.0453411704847,293.950155484367
-6.815000000000047,123.79779856513822,250.06580339058263,292.803080549781
-6.805000000000047,121.38163455044733,248.9878982890711,291.49310584044053
-6.795000000000047,118.83393966593988,247.92173363684287,290.138521932038
-6.785000000000047,116.20237938762469,246.99491539381944,288.87743128851474
-6.775000000000047,113.54364883084868,246.34587228807544,287.86062574544684
-6.765000000000048,110.91968269476277,246.11627130263295,287.24356774502564
-6.755000000000048,108.39341179395188,246.4429636910751,287.1779159775987
-6.745000000000048,106.02441879471051,247.44993077796977,287.8030530501466
-6.735000000000048,103.86485365793091,249.24070697105685,289.2380748377071
-6.7250000000000485,101.95594313203924,251.8917442140724,291.5746897658342
-6.715000000000049,100.32537110258558,255.4471463160362,294.8714498023169
-6.705000000000049,98.98572369066486,259.9151408622414,299.14968894458775
-6.695000000000049,97.93409330780136,265.2665682896793,304.3914736091454
-6.685000000000049,97.15282963856501,271.43555123477284,310.53976760900633
-6.67500000000005,96.61132343888183,278.32236476293747,317.50088095263186
-6.66500000000005,96.26862117745286,285.79836663748887,325.14911093633214
-6.65500000000005,96.07660333161907,293.7126787745216,333.3333073406118
-6.64500000000005,95.98342252623794,301.90015352661294,341.8849189624989
-6.63500000000005,95.9368925704854,310.19003119192644,350.62692863877174
-6.625000000000051,95.88754535429226,318.41461750827784,359.3829815943551
-6.615000000000051,95.79112575270747,326.41729718711434,367.98597707966826
-6.605000000000051,95.61036845941489,334.0592596415731,376.28543768890984
-6.595000000000051,95.31598612683425,341.22444396145136,384.1530952827693
-6.5850000000000515,94.88688523937444,347.82239921978993,391.4863255160287
-6.575000000000052,94.30970473437598,353.7889812055593,398.2093016573865
-6.565000000000052,93.5778337678299,359.0850390592485,404.2719915952276
-6.555000000000052,92.69010290262133,363.6934543868492,409.6473553095072
-6.545000000000052,91.64935434155144,367.61505347857513,414.32728172553857
-6.5350000000000525,90.4610822058097,370.86399992381274,418.31790953569345
-6.525000000000053,89.1322972437595,373.46328053346053,421.63499371077546
-6.515000000000053,87.67071839797016,375.44082443605623,424.29990892077615
-6.505000000000053,86.08433458201857,376.82665719011163,426.33673673630915
-6.495000000000053,84.38132230892816,377.6513111216964,427.7706892209235
-6.485000000000054,82.5702559595179,377.94551698314876,428.62790712237194
-6.475000000000054,80.66051297083914,377.7410178897292,428.936466971694
-6.465000000000054,78.66275896118539,377.07219798606553,428.72826483379305
-6.455000000000054,76.58939798160056,375.97812217605616,428.0413346298717
-6.4450000000000545,74.45488850611038,374.5045476744489,426.9221158165128
-6.435000000000055,72.27585252647145,372.7054924978319,425.42720891150617
-6.425000000000055,70.07093837212823,370.6440220932392,423.624239438213
-6.415000000000055,67.86043270441546,368.39202935825705,421.5915764726505
-6.405000000000055,65.66564918381422,366.02891855507846,419.41680263939236
-6.3950000000000555,63.50814725314324,363.63924269228454,417.1939887273169
-6.385000000000056,61.40885221786276,361.3094709400851,415.01997011261506
-6.375000000000056,59.38715645076173,359.1241646012652,412.98993902476894
-6.365000000000056,57.46008126628183,357.1619079433194,411.19274565918477
-6.355000000000056,55.64157077718432,355.49136883757143,409.70633612427645
-6.345000000000057,53.941974408207756,354.16785280813167,408.5937447470566
-6.335000000000057,52.36775559514245,353.23066575280023,407.9000052583326
-6.325000000000057,50.92144262074948,352.7015215807303,407.6502566326785
-6.315000000000057,49.60181564870264,352.58413032173235,407.8492048680032
-6.3050000000000574,48.404303842636324,352.8649907587769,408.4819740495113
-6.295000000000058,47.32154980634528,353.51530102232516,409.5162521010233
-6.285000000000058,46.34408689241407,354.4938022459325,410.9055219355815
-6.275000000000058,45.461069128072694,355.7502941523329,412.59307888753915
