MO_Energy_eV,Cl-Hg,Cl-Se,Hg-Se
-8.99962544409314,0.030647030544444703,-0.0012256282803585563,-0.004260676343626682
-8.999121762270043,0.024996360558452745,-0.001107999944453299,-0.0037533789527285496
-8.997209057478951,0.043766840834132625,-0.0019525411051563603,-0.0068252331504570305
-8.995853606568728,0.030149116683647014,-0.001315282043595798,-0.0046213999668362786
-8.994818979997934,0.031138125965684788,-0.0014044210713638915,-0.007753377467277709
-8.992454053733725,0.03647293678039415,-0.00158430770016874,-0.008358756671404613
-8.991159951363992,0.03262638039015327,-0.0015394104982810201,-0.007588331785070916
-8.988939966696327,0.03974894674302279,-0.001650653798550812,-0.008201681388716586
-8.987762607416569,0.04005624629314299,-0.0018109509057183558,-0.008750656731844912
-8.985401681236615,0.04093213008457825,-0.0018596152895723362,-0.008887825698204656
-8.982804819295039,0.04713003295205003,-0.0018029221977581397,-0.00916035089755783
-8.981734723863836,0.03379804995448421,-0.0015545407048126597,-0.001434833362753382
-8.981118245791944,0.047304833510736694,-0.001954113420933214,-0.009723948715448707
-8.979599485988762,0.03873491983943235,-0.0017782657981611084,-0.002164893728264098
-8.977574961549227,0.05162993907980468,-0.0020553127094590463,-0.009118120542042833
-8.974206305097013,0.048930954682942354,-0.001990653032983915,-0.011406759036330542
-8.97356790838706,0.048243583539912364,-0.002072079648443592,-0.006846435573671814
-8.97124878540806,0.05919877070505678,-0.0023921774124986282,-0.013712153383310834
-8.968455409120649,0.05044509783051528,-0.0020430478483773632,-0.0112562380274204
-8.965788373256256,0.042088945543633294,-0.001806477302394428,-0.009677136430503053
-8.964523553700953,0.04553442687630458,-0.0018916910120311918,-0.009738754539112904
-8.962375342369928,0.03602712315836347,-0.0015408841541323685,-0.012136634545936718
-8.959893629806896,0.04486631658009628,-0.001786481048301181,-0.010019201414965808
-8.95894873629768,0.034390196251261135,-0.0014503071739694433,-0.011258099987854427
-8.956280872569094,0.04268315666347749,-0.0016908699196748118,-0.012516585393614806
-8.955081044080062,0.040252307582021404,-0.0016289494101142344,-0.011410754366187374
-8.952599538779134,0.033863522033152925,-0.0014704998670507306,-0.010414496896485138
-8.950974151038094,0.03976629815995311,-0.0016228944564126745,-0.012844280552963187
-8.949448679411857,0.03450579555795964,-0.0015209845288704225,-0.009696964656597423
-8.947703974751015,0.04002900062640115,-0.001656567008428639,-0.01251591462195322
-8.946895250643422,0.033885959513760715,-0.001478485600495093,-0.014812862808324008
-8.945513613131382,0.044544857325075835,-0.0018467553482900466,-0.013250826076540089
-8.943762994868392,0.03235814213115025,-0.0014779430378801185,-0.01758016793900583
-8.941961256226884,0.030395465477850752,-0.0014369763234369142,-0.017122335005042132
-8.940624405968643,0.04054010553077217,-0.0018829922736040205,-0.016005572851030703
-8.939617548361223,0.046791903454246254,-0.0020092724012871726,-0.01785377213474062
-8.936801464884471,0.044093629502799284,-0.001909640684198433,-0.013152459031066427
-8.936204815138577,0.04414376115938116,-0.0018524631431018888,-0.014748913407870316
-8.934561792174021,0.044363794639679814,-0.001954276517119613,-0.015535403841472653
-8.933239831403228,0.040697704639619865,-0.0017729374182124341,-0.014696976303602326
-8.929963067395706,0.03283224619718684,-0.0014369913683376144,-0.013724310785020956
-8.92765865064356,0.04648830303331079,-0.0019845498810359672,-0.01988522180895241
-8.926386961568483,0.040763921910768566,-0.0018321553060804009,-0.02071370010285557
-8.925379747556844,0.04242107371084698,-0.0015607138076186378,-0.014085392869615597
-8.923374795117132,0.03521844890010726,-0.0015804842157714656,-0.015467277818638535
-8.922641295734657,0.04387950540423972,-0.0019415226232203787,-0.01773736693254096
-8.920347939316283,0.043423608657990165,-0.001932407348675867,-0.014621512001995442
-8.918941069236125,0.0449679084727495,-0.001989657534434349,-0.014938515421862896
