MO_Energy_eV,Cl-Te,Cl-Zn,Te-Zn
-8.99712489129713,0.0053664900438560835,0.013776980196398857,0.4271427926218655
-8.994356923731145,0.010519734037627917,0.025689671488894665,0.3815261528410787
-8.99121194826227,0.005591272390639844,0.014719123120486035,0.40011731473211415
-8.988909155015593,0.0071925220260811796,0.020857881261386095,0.3904752114602785
-8.982579824618524,0.006319915727723311,0.014575092444827041,0.39212795483215096
-8.9783939956289,0.007516088290606502,0.0181049237607985,0.391505456514484
-8.975486498934904,0.002947798359309648,0.007085334351964043,0.4489262916282524
-8.973575092444818,0.006237102993339108,0.012813322594585745,0.4192790515243544
-8.969781025726402,0.006494021134341886,0.011010124051326299,0.3793192660114077
-8.967116201784018,0.0058247173710109,0.012504412310821991,0.43130944479817845
-8.963364881230712,0.005891578219099721,0.016643518298158636,0.37501499607423977
-8.960420347793805,0.00454266269002768,0.01391086226369491,0.4120531843453594
-8.954243001554113,0.005921304963592041,0.011924745411192412,0.37977101092477916
-8.950015730147157,0.006103485498916563,0.014162670724360508,0.3724809677788602
-8.947030395312739,0.004995923430311944,0.013631721565879704,0.4285307696626845
-8.945346902439587,0.004973383720458129,0.010393304486380154,0.4351655599638804
-8.945094601358711,0.003531263275412098,0.008828706721936662,0.42564313843111584
-8.94218997611298,0.00828894045265068,0.02365947640691318,0.36815849571212866
-8.938098399806403,0.005579669926863454,0.014369925882368522,0.41658577861482227
-8.933627737720812,0.00261595476957761,0.006150577679103406,0.43294919938332016
-8.9313078408724,0.004485375604391958,0.014159569525029784,0.3992121353894668
-8.92566303793968,0.0047866500148588485,0.016911803426739484,0.4296721856792974
-8.92342645448259,0.006739325141985397,0.020563158961659844,0.4050063265384491
-8.922054333050319,0.004594543224430503,0.007285363616916571,0.4253760486389851
-8.917621040362915,0.005553738485088718,0.016614394141767533,0.4223133179267975
-8.914607827308718,0.004020407724286479,0.010561209086212267,0.4335981476885753
-8.908407767713227,0.003438230213362949,0.00783443952764169,0.4439796281948179
-8.907751965914946,0.005978308936147664,0.014629386543345852,0.3872712788655111
-8.903198262070735,0.005844348471017446,0.019077991927713624,0.38020558833066304
-8.901207977972609,0.006788703481226601,0.01753044390627798,0.3863255721489366
-8.897111958461954,0.007340660799481407,0.02298792389724672,0.3776959318945131
-8.895598698496535,0.004132727553154373,0.006524008030713767,0.4482363742974519
-8.893483727734791,0.005966285461038089,0.014889825807104963,0.4053489311682812
-8.89016353941833,0.007231967238685939,0.020684251774474777,0.40966050677590027
-8.88787738269492,0.005417266757942808,0.011468195377964377,0.4185392638890833
-8.883659404786838,0.006557983478804339,0.015048846348180893,0.4050579717714899
-8.880239411478389,0.006458198300787752,0.019149193966066565,0.37334955480479115
-8.878929021721987,0.004104153267605162,0.012858758977045564,0.408749037008159
-8.874058955059883,0.007334468073063372,0.01842196363429317,0.3925599154971694
-8.871251765673133,0.007545269273458978,0.008240959885317126,0.408448768355111
-8.86812174438667,0.007853501026689897,0.01288848164970345,0.37893866436659873
-8.862446060138234,0.0070224434220645445,0.015015270125820025,0.38016875068266726
-8.861469468464124,0.008425281424493615,0.021527969896394744,0.3638581477844987
-8.855582161058363,0.006607142216840095,0.018750574059800757,0.38923226736680666
-8.85313367952118,0.007068789617934802,0.017285497482760894,0.3611437317605137
-8.850490063802376,0.00821373684591126,0.023530485492793466,0.37269283986651286
-8.846321021598483,0.004117075516997066,0.008782829954725105,0.4400500096542583
-8.845458051785108,0.0075367173921541165,0.023755169254017144,0.36751495815155977
-8.840804250916099,0.007429280060921709,0.019427288970382185,0.3742639389671257
-8.835938179431093,0.008113142323467097,0.019597629988980084,0.3804249420099607
-8.830747734404353,0.008354587770075835,0.020707425912214736,0.36363861698677
-8.823710930712107,0.010902966647407327,0.03141830550682084,0.3457640909814246
-8.82148706797045,0.008374814410248088,0.017621237240918484,0.3539897647709498
-8.818917243466514,0.011333038826517318,0.028703710619782465,0.32185231433185363
-8.815089101684075,0.008659159290227444,0.01823740869743293,0.3659242687559077
-8.807583430261014,0.008730280948905118,0.023379302165918516,0.3725794828395429
-8.804675787806664,0.010496807164141572,0.024034714699036494,0.32794655180934057
-8.801310256311382,0.007486067067772113,0.018477483882046817,0.3829248355577047
-8.798511186378207,0.009263599019896736,0.02745365357237544,0.35395352438114347
-8.79286170486584,0.012900373357857537,0.024855081222156315,0.3069746198860296
-8.788643623682496,0.006661091701902272,0.014185769027166622,0.3724844064864663
-8.785730857243507,0.008791161262787742,0.01461335447435992,0.373313553579503
-8.780982684374141,0.011139456066631777,0.028080772349956998,0.33101270343484585
-8.77550101124813,0.007677972647392166,0.017019943054900313,0.37060269958918485
-8.77209896231102,0.010925639606139691,0.021287676043674267,0.3290760839779301
-8.767951023450129,0.008892330124353457,0.021571466973714155,0.3602067968239716
-8.76701909246646,0.008305097478524813,0.01944618075872609,0.3645761681852128
-8.763821385702116,0.010074988035268935,0.018635138006845423,0.34552331533848313
-8.758626705597507,0.008790761566297805,0.02173330621995512,0.3613918532447259
-8.757090348262313,0.00938330231994645,0.0217946663309476,0.35566974832897214
-8.747254238113545,0.015989844549905003,0.032544048393184026,0.2907689727416491
-8.744959120846946,0.0064362327612525255,0.01677098755785514,0.36078151135641057
-8.742499452867863,0.008344528355702206,0.016968884979249935,0.33835647343444125
-8.736608395052787,0.011252006989119372,0.023609727465945234,0.33386515600374916
-8.726485082536378,0.012900559658206249,0.03157521175029332,0.2913811045395037
-8.722181948905892,0.012813488033728107,0.03964213713638966,0.30264107612129926
-8.720969355408272,0.01171189224735976,0.03304655840975845,0.2996738174327811
-8.717493075182796,0.009392486293881199,0.022187332342195068,0.33916588907252165
-8.711095062687512,0.013399228106400063,0.038529852467240173,0.2659569943436199
-8.709423361773338,0.005608841817108453,0.014420077445494804,0.3813635351480207
-8.706073398777754,0.009357565219715211,0.02674659547641394,0.30966063146607486
-8.705254955233114,0.009345638156251298,0.016524541604172452,0.30949290017866965
-8.698115915383626,0.009330965774287771,0.02008689907442786,0.3338691315531459
-8.69441973100031,0.00954631359555184,0.019447327985870955,0.32751587717453123
-8.689986586733294,0.011267512192190448,0.023919033700146232,0.3100252073755301
-8.687106069469044,0.012017865138157608,0.024931420745179015,0.28220842017211584
-8.68353275103474,0.011051188315547137,0.03154117888824648,0.26281071627566566
-8.677864766890753,0.00831348690632423,0.025523023546616223,0.28896768605952877
-8.674070461554495,0.009480837921794487,0.025056012779808123,0.2875796788997436
-8.668855017822992,0.008537431521232479,0.02368314448442103,0.31509883623222545
-8.66700029524733,0.011323051160824415,0.032295027357486294,0.2945810414130937
-8.662605874490309,0.011596166487108246,0.03153397192993798,0.2648265012174108
-8.659251242986342,0.010762349566104206,0.030513132698358217,0.23969222411860175
-8.657641225743692,0.012839827973937576,0.024616454949275737,0.2588220978045747
-8.652705877337231,0.009485174704470875,0.031272292901809176,0.3013276914182079
-8.652404407898322,0.008662583028986577,0.02877500545899515,0.2568674237476732
-8.647349118198038,0.007283813273408321,0.016314360371251176,0.3498510436281105
-8.64374742832698,0.010675567121243276,0.0320076294912608,0.30289542871811426
-8.638532414024846,0.012294098292999971,0.03665480631991233,0.24391429329262101
-8.635609043028303,0.007435513720502676,0.025756898154106332,0.30603931097455106
-8.629379374529814,0.011263003525012248,0.036649463529419245,0.26156693077447896
-8.627957342153222,0.00983066638556408,0.03334331546536574,0.24919592223456097
-8.62233911306593,0.009314153877253857,0.03382679599485522,0.27297243653087744
-8.619818086526054,0.009342308343215375,0.027301917656548155,0.26899629575860684
-8.61315928711568,0.009409750218455299,0.02937697964041723,0.27984280307580595
-8.604258572426943,0.008366131554682294,0.025442840680601198,0.32724293231645063
-8.599076590028316,0.01236885015696773,0.036079523300037004,0.2559468721047009
-8.596740990565152,0.006658366342982252,0.021912534088715418,0.3260966829442612
-8.591452331015905,0.008119882673964783,0.029521076691792547,0.2959245059488932
-8.586130842419731,0.007835859149893112,0.02613474895886114,0.3139207314905667
-8.581101086948237,0.009573567843838044,0.037280595727260536,0.2648337780658849
-8.573733984750215,0.00782178400927921,0.03104832912022108,0.29660053597151675
-8.565906392596826,0.007980185253946335,0.02467112275003785,0.304127111314112
-8.563905097198873,0.0076316653234979916,0.026196747692651522,0.2983873409247016
-8.555630655072376,0.005938872733456197,0.026837388531427663,0.2948334374055169
-8.549956709486041,0.005176561716683473,0.019332347346715836,0.3281627668175234
-8.54665302765757,0.005100617557430251,0.013695311483487608,0.3504366492274619
-8.54040567824579,0.006426531140126244,0.022576120847822602,0.30658437392367033
-8.53694444208523,0.006469786768990388,0.02135148240615256,0.32688486053213067
-8.531750714777353,0.004066531224973786,0.022993284860471624,0.29669941421793566
-8.517403238171394,0.00763335222363567,0.01922556889003738,0.3138797773381451
-8.512940391881184,0.010682972171890901,0.02336418045278802,0.2998633591449774
-8.502723719898727,0.007284894239874037,0.024427164494253986,0.2835837515699026
-8.497113865356301,0.007814771409442818,0.022832836650124113,0.30527961291824274
-8.492073507333156,0.0034428132351358907,0.01407667645501901,0.316877957952596
-8.483842135269768,0.004713073122248971,0.0173062032284237,0.3044353657970788
-8.48026372280528,0.007613271597634445,0.02268772896341742,0.2890484178736887
-8.470774433506556,0.006869666485791386,0.022112083555633814,0.2800463215365102
-8.464265358951108,0.007731144317739331,0.014419484674609108,0.3433482857365439
-8.463392571739872,0.005764799239534998,0.014990076768223651,0.33351695251421654
-8.461102401530558,0.006320449037913475,0.018946748012653617,0.2933099588415415
-8.456497555697249,0.006405969985312382,0.022059071529766834,0.28638969548495796
-8.451904586723058,0.006637944920515359,0.016510577771033316,0.2768146756136425
-8.436810949695905,0.007866246943108965,0.020235470044871355,0.2923724113772954
-8.434055626339202,0.00307584642438666,0.024322168276359513,0.2902826471837924
-8.427555583365224,0.006392062637602848,0.021244950464716996,0.2826008198894552
-8.420904242712409,0.0046670443429730375,0.01988948292614998,0.3058547478781086
-8.412895659059846,0.006894371032200387,0.02056233376294036,0.2839374650200587
-8.400640833510327,0.003638619017750322,0.021141118837031528,0.2837388026132475
-8.39769433914931,0.008540777304485565,0.01973688386273081,0.28164682717149203
-8.392507570154322,0.004739387411733918,0.020190097139259084,0.2894105851607851
-8.390981677159411,0.0018324115758134884,0.025634573661674688,0.27689505295604666
-8.381655708209264,0.008264129063977093,0.02322072111882241,0.25538850290465304
-8.376660289005887,0.005551550965046484,0.018051763594045134,0.2798190108587591
-8.371958346099541,0.0047856554227310695,0.024782340077265395,0.2570327587624011
-8.366833481309706,0.0015856198034901873,0.02124867987725018,0.27303544411768904
-8.359911899809472,0.0052577811460117535,0.025225478379381275,0.24989681241089548
-8.35149471254557,0.005371481071975623,0.018257357528553928,0.2825978147731737
-8.343456387114811,-6.545412628592254e-05,0.028529785362835763,0.25911098530857724
-8.338984040355829,0.004685867929860158,0.02469748077171839,0.2657308386599572
-8.331166083004959,0.004538208100920324,0.03182800352158073,0.22564765022428063
-8.325649337003977,0.0012378477720115706,0.020802873621462166,0.27034294706055223
-8.315126284393164,0.00537207158884583,0.032000921947609125,0.19845978892883234
-8.311355014424562,0.0033264752304421915,0.022148267186631602,0.25442696672067755
-8.30795086639109,0.002579568345989391,0.026988340494833524,0.221910158262672
-8.303958280531639,0.0038327618391381297,0.027207731495139553,0.2150085246336561
-8.295661636218963,0.0014498904470306327,0.020126152136106527,0.2565511978800562
-8.288792782362977,0.00402885036586732,0.027341524889916587,0.2196335679702325
-8.281646899424969,0.0009238569309622415,0.02585488702889273,0.2635465978767995
-8.276971224066934,0.005545023697679471,0.02983340432134863,0.21369137040149477
-8.272789103339651,0.0056781156888271525,0.03706516937483321,0.18677742864268193
-8.264765345617677,0.0057795610080338886,0.0378598612054323,0.1536232388202403
-8.26382435264569,0.0042315314243318745,0.041038991641472095,0.14156121848902725
-8.256770612001702,0.004888381201406946,0.03472279559888183,0.20702476886468976
-8.250781630537613,0.004027580575941033,0.03433559463831525,0.17980977591630795
-8.246626292397695,0.006952640712256115,0.03976987337835538,0.16438850254134738
-8.24194334563743,0.002927854386383798,0.03458866937739869,0.18190517190088348
-8.24126248600464,0.002292222977463245,0.033172125888209454,0.2020987782114935
-8.231638976987844,0.0025426580897971625,0.034608164005381435,0.17150779222220724
-8.226520714100417,0.004503638801163409,0.03160301952594023,0.18031814646432
-8.21904448757889,0.010334390891425531,0.04207926096309978,0.08796701755785379
-8.209305785707091,0.0046697704897208595,0.03769264612039374,0.16590765347420655
-8.205750701685085,0.006473844987021373,0.03613696137448468,0.18142702965500282
-8.197564548249572,0.006775683287107435,0.030291121318440195,0.1949306315281743
-8.195026737630274,0.0036106413859142514,0.026778873275198924,0.22461331397964285
-8.188143363525981,0.003923053000024784,0.03531411170151613,0.16446937402949224
-8.176773520440987,0.0035232444526889493,0.025962989602008015,0.23953714120913552
-8.17158528731851,0.0045038520903378934,0.019831544759428495,0.2391626126228243
-8.1684818650456,0.0030933066229551485,0.0319164754936779,0.17638064532634773
-8.165180368722725,0.004513211046528429,0.02671998338205431,0.20127445223182083
-8.158775982977382,0.005261140712062044,0.04491625665892336,0.10463746987814983
-8.14844479393121,0.0009892854835909124,0.03510930553089625,0.1585933427803935
-8.14580228180722,0.005124618190458802,0.03325097936006533,0.1814103949092949
-8.14400934641257,0.005746096926017064,0.0403801214775774,0.1760524059036373
-8.138995024139764,0.007031135016284559,0.04335459914591932,0.16728082173390474
-8.13142305992969,0.004459217711460309,0.03784789998654863,0.14850026637981742
-8.127417334657133,0.003468708844721556,0.043042708438581594,0.12332486884212267
-8.121214927618723,0.001899605122536329,0.04110503203342108,0.13091089186186436
-8.113650135568118,0.004999038608879529,0.03785917997782506,0.15546243144655858
-8.11341901574693,0.0026813360490297276,0.04614011359665841,0.10335992246966198
-8.109658689967816,0.0041040864396348214,0.04845154217832483,0.1007901060633571
-8.10505231477408,0.0024034653553577675,0.04197355499886617,0.10742764681086679
