MO_Energy_eV,Cl-S,Cl-Zn,S-Zn
-8.999773482461231,-0.0005929427719172765,0.040579224990106896,0.07468858084909547
-8.977323127699371,0.00039439422894055847,0.021818261291904714,0.11507021309900294
-8.968687205836277,0.002696325906907556,0.022732893300060345,0.12280159323329322
-8.95098509092269,0.001518739665941029,0.024881447703429396,0.12044648799966194
-8.866841525393022,0.0006605289673430487,0.03315021774854452,0.0824983772184185
-8.8606703540783,0.0014319153647734486,0.03478998218042921,0.07754913848773098
-8.859491303037187,0.0003918402254905317,0.03747454872331744,0.055691368180422675
-8.855351986138137,0.0005931404115009335,0.039040005947128434,0.06619249582947102
-8.845288890081608,0.0026934850746086723,0.020996282172599297,0.08993480110765714
-8.84059383825375,0.009420192040660219,0.010024077585733518,0.07498180116042485
-8.826964334066485,0.0034341288371080897,0.022459023463209733,0.0981859949042394
-8.823486863373022,0.002104506250622337,0.02273201921612483,0.10120549866312219
-8.818951294518673,0.003267808061388785,0.02426914978567018,0.09541306184622379
-8.808937490810772,0.004143385506726812,0.02241661195635665,0.08937047247237721
-8.80751526314387,0.0032957670461690636,0.0199724506279676,0.09988096653774521
-8.803810110166966,0.00492952640560537,0.013212971522672088,0.08819964772043326
-8.796899077362545,0.008515991241704716,0.009890667572473508,0.07624322205935832
-8.787695737691315,0.005141537645308586,0.013626996468535359,0.10505230980214518
-8.783178281122199,0.008009678573777997,0.009510428452159183,0.07270699304405451
-8.767517868603592,0.0031293562703836974,0.014788604322206121,0.1138178091393084
-8.765251158274756,0.0033151584556697145,0.020237320487287283,0.08044672365762956
-8.752097342385888,0.0040096464921861715,0.018460284968215303,0.11008522541184883
-8.747743820481812,0.002446592253776888,0.021772618376919097,0.08051755966608194
-8.737158564268789,0.0013201014037416043,0.03337260341579378,0.0599420973124506
-8.735064148727428,0.002577191172406642,0.018889896680105257,0.07598413835203148
-8.730101127628544,0.004176133770273838,0.015914051766721466,0.10081406481735945
-8.726281518973373,0.001986104909297495,0.028058679286025894,0.07582220270837309
-8.720910906704518,0.002900177098009809,0.016852472079198398,0.07616135406207365
