MO_Energy_eV,Cl-Hg,Cl-Se,Hg-Se
-8.997159676075103,0.03541019896080064,-0.0024396769159021454,-0.10911975992576012
-8.982684729290899,0.03566793785018427,-0.0024219089201261553,-0.10265003194126218
-8.981899713705939,0.034713379913587854,-0.002419955286034418,-0.10561359960691644
-8.964698440647323,0.03222768535690456,-0.002056123281296129,-0.09894333696863053
-8.960582446485331,0.03553904737737169,-0.002057260345449379,-0.1026242332113279
-8.915110414730382,0.03589404125947264,-0.0021334655105671734,-0.12891425363682157
-8.902766520232156,0.0353534621998504,-0.0022615155228595724,-0.1283432881043723
-8.842885184729209,0.019554063586108755,-0.0014504673928177679,-0.14833272146138604
-8.811286763628488,0.019079149701642418,-0.001070602623067401,-0.14379692675278694
-8.801798872329638,0.020002731187744278,-0.0013813222582058674,-0.14029485134710556
-8.769186921927364,0.020856016244032206,-0.001272970241176156,-0.13920048217374462
-8.708396977948826,0.03715434657217319,-0.0033367355769773066,-0.15958280262063446
-8.699263799859173,0.03453109758238706,-0.00308518758896992,-0.17123857801119288
-8.674182365497556,0.03617915969793412,-0.0031391655605674607,-0.1674416100306432
-8.645346040619245,0.031401338251537216,-0.0025418194045496866,-0.17958200845083638
-8.612971456469985,0.026641509440229593,-0.002064953638942909,-0.18559745795820848
-8.60123085082907,0.027008525955578257,-0.0020535199177777754,-0.18171683895526874
-8.462209983765455,0.006316071775964669,0.0011179572223398322,0.0037396766463127476
-8.425226644211122,0.00688666546030488,0.0005833680840361013,-0.0037677542342216645
-8.414961374179809,0.007843112631979168,0.00032500309202679865,-0.01990876551679725
-8.409230486740242,0.013316756301923565,-0.0011353136762219942,-0.17561135793727656
-8.39083514396046,0.003545680148499427,-0.002241254836738424,-0.007885526462203573
-8.374447028860576,0.01075518423278351,-7.311596739669931e-05,-0.0002707466122060384
-8.354505954937673,0.013984898273491081,-0.0012751923746832238,-0.16174948322990523
-8.347520582823543,0.011244562427424283,-0.0014488111318217596,-0.13045245318799267
-8.339791547699432,0.0064256819925514585,-0.001559811203607609,-0.052910917765578346
-8.335248606753305,0.003988370787884955,-0.0013315585702142908,-0.05848685726075067
-8.319148107951031,0.013435977916487537,-0.0007870869683841213,-0.18671670493508377
-8.305332437328111,-0.004451568558705211,0.0009445282326194398,-0.0032392102100096704
-8.282905484978677,0.013630570016993996,-0.0009646377267653929,-0.11803648859487192
-8.277935548668419,0.001004065098078952,0.0002809135802569838,-0.047458684389014696
-8.240204727838872,0.01823997471129205,-0.001419002709992779,-0.16241211874195266
-8.223094281060687,0.008487536256644175,-0.0006541915896254745,-0.08250323180491752
-8.192034999149994,0.0061757469180881,-0.000343903677412176,0.006535134210408072
-8.18994248310046,0.005170432334096454,-3.55233367318979e-05,-0.008328049316612286
-8.149196720798114,-0.018105942351316625,0.000970686979984794,-0.0066076878392394905
-8.14154582243679,0.017591628757931525,0.0009057851271741993,-0.0015683234149216833
-8.140744341889024,-0.001818927416069331,0.0008472711318055246,-0.00545887943199662
-8.106165025888716,0.032525907205581295,0.0007879362174566799,-0.0023057651344039446
-8.099299353891421,0.003575035122401816,-0.0012067768350413099,-0.016932019818475964
-8.094815727038755,0.006099649790463921,-0.0010810215998659008,-0.015197781299687402
-8.08705587285213,0.02190857170741081,0.0004491179948166078,-0.007963452223580324
-8.061954377688206,0.017448205177340595,-9.662302282146142e-06,-0.007146455653635508
-8.060260827741134,0.023553414166208913,0.00040979974502924573,-0.0029132808442716117
-8.051695216536583,0.011553801904356316,4.3694967498885774e-05,0.0008621458179953744
-8.044521274384781,0.036939938585690515,0.0007585427111295864,-0.0003299891303447307
