Energy_eV,Cl,Hg,Se
-8.995000000000001,7.913499307068218,31.936521238605984,40.752227647526816
-8.985,8.120550997741196,32.8975783707327,42.034901548726246
-8.975000000000001,8.242957584939939,33.54134402368658,42.92375831341315
-8.965,8.281581809407895,33.87101102309148,43.42289981234903
-8.955000000000002,8.240835688597421,33.90322107807883,43.55326868034892
-8.945,8.128333545984061,33.66655852582376,43.350692769147585
-8.935000000000002,7.954347025634936,33.19926201706925,42.86293752330115
-8.925,7.7311155891873025,32.546381599276565,42.14606012104066
-8.915000000000003,7.472076236201325,31.756652739269516,41.26041653936697
-8.905000000000001,7.191078949147238,30.879371381412355,40.266689299169
-8.895000000000003,6.901649771961109,29.961534943979913,39.222278949104776
-8.885000000000002,6.616352555679513,29.045467003279107,38.17834098868938
-8.875000000000004,6.346285049963397,28.16707540906475,37.177660932185496
-8.865000000000002,6.100727433117168,27.3548140610324,36.253455640555885
-8.855000000000004,5.886943919459247,26.629337835460788,35.42908234758447
-8.845000000000002,5.7101229232019435,26.003768052900227,34.718541056536225
-8.835000000000004,5.573430082388004,25.484430655113687,34.1275822609591
-8.825000000000003,5.478142282505692,25.071896541503634,33.655187994765384
-8.815000000000005,5.423829938180337,24.76214572300417,33.29518359232001
-8.805000000000003,5.408558716277511,24.54769311891385,33.03775927686302
-8.795000000000005,5.429089498962552,24.418549863497034,32.87072960442075
-8.785000000000004,5.481065127191886,24.362943377654286,32.78042629989653
-8.775000000000006,5.559182571650887,24.367774232327037,32.75219548886912
-8.765000000000004,5.657357959423357,24.41883976915914,32.770542616530946
-8.755000000000006,5.768897974622529,24.50089627596877,32.81902744061608
-8.745000000000005,5.886693699613952,24.597657916858488,32.88004989186952
-8.735000000000007,6.003451736487243,24.691838883862502,32.93468128350325
-8.725000000000005,6.111972821626242,24.765335499485428,32.96268411170891
-8.715000000000007,6.205480994192477,24.799619975590623,32.942830862772155
-8.705000000000005,6.277997887477554,24.77638188499972,32.853583901575455
-8.695000000000007,6.324748151353729,24.678412835634234,32.67414229584826
-8.685000000000006,6.342574526731283,24.490690145537172,32.385805244564615
-8.675000000000008,6.330335532322192,24.201581533012,31.973552671553392
-8.665000000000006,6.289255576259288,23.804068642448378,31.427706861378276
-8.655000000000008,6.22319669933097,23.296874689370398,30.745517983785525
-8.645000000000007,6.138822947341735,22.68538111780086,29.932512079681697
-8.635000000000009,6.0456322592414935,21.982229102819353,29.003451842269538
-8.625000000000007,5.955836415033594,21.207522263370663,27.982786235053155
-8.615000000000009,5.884076734366061,20.38857480230378,26.904501682099323
-8.605000000000008,5.846971649614944,19.55918196058816,25.81133181412612
-8.59500000000001,5.862501829128565,18.758424621503835,24.753330936483692
-8.585000000000008,5.949248981897732,18.02905464243201,23.785864860398277
-8.57500000000001,6.125515471320119,17.41553963169911,22.96711795514355
-8.565000000000008,6.408362813987991,16.961873161779188,22.35525389101321
-8.55500000000001,6.812617199279177,16.709276771699226,22.005396583150272
-8.545000000000009,7.349898291783929,16.69393187821865,21.966614954643575
-8.53500000000001,8.027732640059988,16.944881756996566,22.279098824186267
-8.52500000000001,8.848813968645398,17.48223567941378,22.971703101308712
-8.515000000000011,9.810468716953112,18.315789574753367,24.060014389656953
-8.50500000000001,10.904376113813807,19.444151604974373,25.54506012385278
-8.495000000000012,12.116578131408229,20.85442896209541,27.41273859221593
-8.48500000000001,13.427796760064972,22.522496771591253,29.6340023934017
-8.475000000000012,14.814055652914549,24.413834209132474,32.16578201789888
-8.46500000000001,16.247582162940667,26.484879705089256,34.95259402850132
-8.455000000000013,17.697946140203065,28.684828862082945,37.92874270016351
-8.445000000000011,19.13337545507816,30.957777166767237,41.020996885537144
-8.435000000000013,20.522176559591784,33.245095593342555,44.15160603370809
-8.425000000000011,21.834182403484213,35.48792076215386,47.241510333478786
-8.415000000000013,23.042149907779848,37.62964169431913,50.213598656906456
-8.405000000000012,24.12303451878733,39.61827117891584,52.99587266845478
-8.395000000000014,25.059079128297704,41.408599958573774,55.52438445755439
-8.385000000000012,25.838667527192317,42.964045083947255,57.74582705966093
-8.375000000000014,26.456907149276084,44.25811897220167,59.6196716195336
