MO_Energy_eV,Cl-Se,Cl-Zn,Se-Zn
-8.96533299481897,-0.005764618805880154,0.0166131001736708,0.007167711190556504
-8.965185392370962,-0.005771011845223144,0.016358831263381255,0.007306456377095727
-8.958438819729771,-0.006022067062179745,0.016443917570576085,0.00809701846279898
-8.882568046276894,0.017800364178206362,-0.007651546029374796,-0.10036497687479784
-8.49103748062734,0.013329062318299329,-0.030556065594118356,0.01596761682721712
-8.488920790426615,0.013327443793163826,-0.030603935308697067,0.016074485986038736
-8.486074001920478,0.01331189981187025,-0.030661481850109293,0.016113330792383786
-8.395445873836131,0.021656293137452178,-0.06352707057475,0.012840752628495159
-8.388137310750608,0.02162498618324219,-0.06367273318254503,0.012791885125379578
-8.2474408253396,0.014386683283199291,-0.06599589702685245,0.042446628254638526
-8.2452193959814,0.014353331597699736,-0.06630896409928898,0.042626634234337706
-8.244828381357417,0.014434942580502768,-0.0663203958539101,0.042208431442079454
-8.10394680398745,-0.00023374865915353363,0.0008687864719494177,0.09587712230504154
-8.070223817703878,0.015692017327440032,0.03353227153944863,0.044114137694302676
-8.065128005896325,0.015704059021233792,0.03366188957081402,0.043981717207109916
-8.057994286108755,0.015625955224853574,0.03349123938354811,0.04418156767136752
-7.839591443617678,0.002859218032955898,-0.0343767208022897,0.021006190325479155
-7.828314730221563,0.003049397139768985,-0.034827466936337,0.020504525875405664
-7.822365726481011,0.0029897868979310784,-0.034566053664406446,0.020805039867991596
-7.701575194454705,0.005675660580909284,0.005746599824150535,0.0410222862059942
-7.700174387411611,0.005645983581274956,0.006448546882315056,0.04102353876242994
-7.696867922916804,0.005499565830387953,0.0064557595020010156,0.04140505685403283
-7.624463283649938,2.9725826570328365e-05,-0.009458781169144665,0.04870843762562503
-7.612386496276212,-1.1457308432812955e-06,-0.008382381710536756,0.04821302889174483
-7.336947642000496,0.00040169564432459475,0.00037509425525251793,0.058442550081503564
-7.333921407379905,0.0004495004314795139,0.00043917968056373454,0.05806382174235982
-7.323206257405494,0.00042092984399658254,0.00035363837610431114,0.05775903103443457
-7.284785287646907,-0.00016353283767643308,-0.0026097707839507467,0.0687160951446536
-7.278150248215883,-0.00017285630059989078,-0.002670306678758513,0.06833336094919189
-7.1912893821232515,0.0024400016714322603,0.004419000224724425,0.07409454687031973
-7.1892311406230265,0.0024221478699508426,0.00443973804436355,0.0741981823103137
-7.185117218141608,0.002501846436900425,0.004690766258440271,0.07358508751130105
-6.979908700887333,0.0008457253350498716,0.003676392225757974,0.06125088473259067
-6.974084231663147,0.0008401384561433733,0.003663230958786207,0.06134405818356681
-6.967512678167807,0.0008192397482768457,0.003554280088675348,0.060408888233179615
-2.9721291565338914,0.04547690746019275,-0.33118408973395086,-1.7768290040889976
-2.272187242992531,0.012315903017665745,-0.0992411021259743,-0.7288435823493415
-2.2630177064374886,0.011353304398725816,-0.08891665531230555,-0.7029092625886569
-2.253648264604023,0.011942897635465823,-0.097653468456201,-0.7405287111519482
-2.2340423624595718,0.015679527893720097,-0.05788471618804609,-0.2364219090865753
-2.2219048136716895,0.013831014053839137,-0.03684907267822183,-0.2112591607195901
-2.15556260464107,8.873234028968034e-05,0.0025297724152932525,-0.1746029084343826
-2.0616536156983023,0.0443048574934708,-0.443438369902474,-0.9669542215202824
-2.048236140440768,0.04276844451029018,-0.42245945000082447,-0.9252662901024631
-2.0300835541789124,0.04109867904657147,-0.39897977287279845,-0.9138721636724433
-1.69657961276013,-0.011602712378492612,-0.5005773423035059,-0.4859750072331278
-1.6876182163143698,0.028259132320356803,-0.43400174893062454,-0.812647865917125
-1.6826351222667657,0.032826974811145944,-0.4195501752729861,-0.8418248636544557
-1.5889674179038853,0.02114110614342632,-0.27985778387700466,-0.6617528658845818
-1.5727258369573989,0.021276352585353247,-0.27767834466634334,-0.6641862194378192
-1.5571524578684308,0.020933160904006032,-0.2877374102657691,-0.6432849453840355
-1.3092330234665062,0.016821351060769135,-0.22122274513221696,-0.7894821894751917
-1.2947431939735785,0.017004658657935323,-0.22073042671101142,-0.816775604313833
-1.284537794406485,0.017241321497062312,-0.22450501986986543,-0.8096855287156898
-1.2249517554538207,0.0026448422766953313,-0.004025282771828756,-0.9617850812626907
-1.2162829384644764,0.003203366546701841,-0.007360440336796291,-0.9881348007330255
-1.2094875542584371,0.0031723892031303887,-0.006726979133515113,-0.9715289910643595
-0.2215084239908954,-0.05498193899256932,-0.07635004063528195,-0.5030676400017693
-0.14457241348034486,-0.03411501467188113,-0.40335923300413723,0.043269304524826566
-0.13814992774067167,-0.03441445225969372,-0.4021301778127846,0.04957274476517634
-0.13028256012127837,-0.034581458069536365,-0.4000708722085401,0.05525806274824309
0.19854937654077837,-0.030447973906218714,-0.03544299491222593,-0.9064107084540419
0.20126437648466297,-0.030054159456937134,-0.030650863097357373,-0.9148675242772009
0.20439304087412122,-0.02831353430329939,-0.023544568728755252,-0.9301657907958466
0.29711531955043174,-0.0026768944455589434,0.031808954195364315,-0.42076287116149935
0.3072625450280634,-0.002679085900788798,0.03225377542815361,-0.4225192312882122
0.32389187654200463,-0.003135632312974547,0.03444851519260681,-0.40876759238937904
