Energy_eV,Cd,Cl,S
-8.995000000000001,47.483333708989655,83.16128743864004,155.78654879241014
-8.985,51.226268049704586,88.69237168325968,167.71376208819473
-8.975000000000001,54.93631422218679,93.99007573792069,179.4667897024487
-8.965,58.59539855381177,99.02590204376551,190.98569345429024
-8.955000000000002,62.18860040957762,103.78056933031297,202.2222779614341
-8.945,65.70345874521905,108.24265182684255,213.13790009960815
-8.935000000000002,69.12914551285846,112.40694172779959,223.70082161823447
-8.925,72.45563548274167,116.27278062652184,233.88352628125594
-8.915000000000003,75.67298764869285,119.84257041650915,243.6603740377364
-8.905000000000001,78.77082337083506,123.12061135383041,253.00586543183755
-8.895000000000003,81.73804672949922,126.11233708844189,261.8936594923872
-8.885000000000002,84.56281045026438,128.82393770649287,270.2963514009094
-8.875000000000004,87.23269337965938,131.26229547758496,278.18589559731174
-8.865000000000002,89.73502867441779,133.43511417674344,285.5344743909298
-8.855000000000004,92.05730913325363,135.3511068872662,292.31557274172997
-8.845000000000002,94.18759816022181,137.0201190440377,298.50502868189506
-8.835000000000004,96.11488965671101,138.45309813088699,304.08187900776056
-8.825000000000003,97.82938345719693,139.66187019926033,309.0288975422998
-8.815000000000005,99.32266926726149,140.6587357108404,313.3328106811192
-8.805000000000003,100.58783582580304,141.45594285004668,316.98425400775596
-8.795000000000005,101.61953855012818,142.06512722927093,319.9775895247331
-8.785000000000004,102.41406537348469,142.4968180663503,322.31072623832847
-8.775000000000006,102.96943620809967,142.76010169710355,323.9850752461126
-8.765000000000004,103.28555801417491,142.86250673706326,325.00572883353675
-8.755000000000006,103.36443812190763,142.81013727268171,325.381891623207
-8.745000000000005,103.21043752424922,142.6080386534393,325.12752390654657
-8.735000000000007,102.83052771350435,142.26074234434137,324.26209663969973
-8.725000000000005,102.23450290492174,141.77290815539038,322.8113156500734
-8.715000000000007,101.43509641496833,141.14996798390098,320.80765659161807
-8.705000000000005,100.44795606707589,140.39867624796327,318.2905641113708
-8.695000000000007,99.29144762317569,139.52748708173044,315.3062054436974
-8.685000000000006,97.98627488076966,138.54670366105495,311.9067230695914
-8.675000000000008,96.55492694427569,137.46837607646367,308.14899363802954
-8.665000000000006,95.02098385282099,136.30595605720438,304.09296108459597
-8.655000000000008,93.40832827156699,135.07374525502598,299.79966218018626
-8.645000000000007,91.7403212965238,133.78619558992622,295.3290966074518
-8.635000000000009,90.03900369801764,132.4571336768741,290.7381083494737
-8.625000000000007,88.32438038853913,131.0989863427692,286.0784411110717
