Energy_eV,Cl,Se,Zn
-8.995000000000001,44.37442597305618,74.75584227331927,124.1706100907398
-8.985,47.10807778530216,79.29234280310398,131.50184070459147
-8.975000000000001,49.58442169788135,83.39404050868316,138.07949009633046
-8.965,51.771338761285,87.01059389076264,143.823288692109
-8.955000000000002,53.64641283622383,90.10812734291497,148.68142827652377
-8.945,55.19721759872406,92.66938160983715,152.63054254712154
-8.935000000000002,56.42112186355947,94.69302567858995,155.67421383158973
-8.925,57.324697026799065,96.1923012198593,157.8403141539317
-8.915000000000003,57.922825505774924,97.19319875660219,159.17754184149385
-8.905000000000001,58.23760849748343,97.73236332539955,159.75151644559747
-8.895000000000003,58.29715822712487,97.85490148874757,159.64075271092767
-8.885000000000002,58.13433899175435,97.61221956772792,158.93276243696874
-8.875000000000004,57.78549834861986,97.0599749070181,157.72044801733432
-8.865000000000002,57.28921000300516,96.25617750653421,156.09886957263183
-8.855000000000004,56.68503721403783,95.25944602558101,154.16240206933966
-8.845000000000002,56.012321765298225,94.12740430963146,152.00225764669162
-8.835000000000004,55.30900844117602,92.91520283001289,149.704333610973
-8.825000000000003,54.61052622634362,91.67416096278407,147.3473546974429
-8.815000000000005,53.948761422796245,90.45054553330326,145.00130155984021
-8.805000000000003,53.35117029844409,89.28452194367819,142.72614617148744
-8.795000000000005,52.84008580379921,88.20933008596418,140.5709390949365
-8.785000000000004,52.43227149918269,87.25074318720766,138.57330560389386
-8.775000000000006,52.13876498740034,86.42686116851672,136.75940305832728
-8.765000000000004,51.96503361837785,85.7482712373014,135.14437043238942
-8.755000000000006,51.91143955741939,85.21858008920132,133.73326600163892
-8.745000000000005,51.97398329571587,84.83528903720244,132.5224473067786
-8.735000000000007,52.14526867860997,84.59095129269053,131.5013064122443
-8.725000000000005,52.41561258704731,84.47452493025912,130.65424067067852
-8.715000000000007,52.77421151864285,84.47281988551978,129.96272037782018
-8.705000000000005,53.210276849122636,84.57193468556858,129.40731265769452
