Energy_eV,Cl,S,Zn
-8.995000000000001,21.891303425141654,36.62523396689416,43.84575923149468
-8.985,23.349797492689973,39.17731044482102,46.868358917092166
-8.975000000000001,24.7465749305004,41.61068071795028,49.73692285149737
-8.965,26.065690754110662,43.893852262970675,52.413116206133694
-8.955000000000002,27.29105257315162,45.99725598299496,54.86149919346461
-8.945,28.406570492122377,47.89402002101486,57.050519669454246
-8.935000000000002,29.396522099027237,49.5608972809364,58.95364418806534
-8.925,30.246142928322495,50.97931902500099,60.55058956071709
-8.915000000000003,30.942411354518708,52.13650049650465,61.82856598855913
-8.905000000000001,31.474956976289317,53.02648350882902,62.78339852067119
-8.895000000000003,31.836990114958187,53.65097419950489,63.42036602808884
-8.885000000000002,32.02613281761944,54.01982860715393,63.75459389076973
-8.875000000000004,32.045032255293336,54.15105798222224,63.81086207738941
-8.865000000000002,31.901656317235677,54.0702691802654,63.62274326393177
-8.855000000000004,31.609206194365697,53.80951817945551,63.23106008362534
-8.845000000000002,31.185626844756694,53.40562811908068,62.68173631302358
-8.835000000000004,30.652746631118465,52.898096341409726,62.02320092801669
-8.825000000000003,30.035124568022198,52.32677622875694,61.3035731113155
-8.815000000000005,29.358720443480365,51.72955897857524,60.56789874242696
-8.805000000000003,28.64952410205423,51.140290705541844,59.85571660853867
-8.795000000000005,27.9322823413306,50.587138528261775,59.199202588215925
-8.785000000000004,27.22944499870905,50.09156755164217,58.622075130078976
-8.775000000000006,26.56041856821242,49.668015487752704,58.139353635166444
-8.765000000000004,25.94117117231851,49.324263359909054,57.75795527471242
-8.755000000000006,25.384183609895803,49.06241178491855,57.478010198633726
-8.745000000000005,24.898694776210785,48.88029553623434,57.29468511983794
-8.735000000000007,24.491152770029792,48.7731156831145,57.200243992866575
-8.725000000000005,24.165760746630248,48.73504653620373,57.18605106892274
-8.715000000000007,23.925002094882984,48.760587387101914,57.24423977073655
-8.705000000000005,23.770043219000016,48.84547504422409,57.36882838171462
-8.695000000000007,23.700941818879034,48.98704599448513,57.55615253826649
-8.685000000000006,23.716629469129295,49.18402619763067,57.80459232614561
-8.675000000000008,23.814683185230574,49.43581901444527,58.11368283902337
-8.665000000000006,23.990944418550313,49.74144381417787,58.48279502027976
-8.655000000000008,24.239078623874242,50.098336879830164,58.90964370404241
-8.645000000000007,24.550188483328334,50.50125292053495,59.38891097413269
-8.635000000000009,24.912595418221066,50.94149498914669,59.91125972157586
-8.625000000000007,25.31188624446225,51.406653550200346,60.46295554960595
-8.615000000000009,25.73128676084521,51.880958115544956,61.02622251802398
-8.605000000000008,26.152376538680898,52.34624843702346,61.580342981243845
-8.59500000000001,26.556106241090678,52.783471310860165,62.10339130809878
-8.585000000000008,26.924028675849613,53.17451949901682,62.574384428962475
-8.57500000000001,27.239615638840675,53.50416582539603,62.97555637177064
-8.565000000000008,27.48951116413272,53.76181924284781,63.29443234395003
-8.55500000000001,27.664572139106554,53.94284601369683,63.525396911050834
-8.545000000000009,27.760569958678072,54.04925666155819,63.67051871369384
-8.53500000000001,27.77846881673931,54.08964964032727,63.73950102157791
-8.52500000000001,27.72425085121608,54.07841151230265,63.74875642261585
-8.515000000000011,27.608316858611637,54.034283046325214,63.71973402153313
-8.50500000000001,27.444544098408574,53.97849270801197,63.676736939218316
-8.495000000000012,27.24912122255641,53.93271791434199,63.64453812364764
-8.48500000000001,27.039298591501026,53.91715019064709,63.646121604638395
-8.475000000000012,26.83218792313552,53.94891060141777,63.7008414000191
-8.46500000000001,26.64372029330421,54.04099226668398,63.82320799996379
-8.455000000000013,26.48783168550025,54.20181031707314,64.02239790679545
-8.445000000000011,26.375898930007246,54.43533395587297,64.30245598413744
-8.435000000000013,26.31640528509255,54.741679516415246,64.66304605729283
-8.425000000000011,26.314782474044968,55.11797450588253,65.10052251222848
-8.415000000000013,26.373360480365193,55.55927226163691,65.60905852246043
-8.405000000000012,26.49135987547127,56.05930923127913,66.18158019323413
-8.395000000000014,26.66488190359945,56.61094819004786,66.81031603181728
-8.385000000000012,26.886883415464325,57.20623000594434,67.48686499341707
-8.375000000000014,27.147159138401502,57.83604814548241,68.2017954491353
-8.365000000000013,27.4323841694031,58.48954662675459,68.94389127068648
-8.355000000000015,27.726287593230634,59.1534078830997,69.69924118398447
-8.345000000000013,28.0100290210338,59.811230793984066,70.45041016161363
-8.335000000000015,28.26283244827686,60.443196037678234,71.17593078382018
