Energy_eV,Cl,Hg,S
-8.995000000000001,0.002572947417546674,0.01857106275411043,0.028615924274507452
-8.985,0.004034961231556852,0.029226198208484586,0.045046876438879335
-8.975000000000001,0.006235427901571198,0.045330207217932364,0.06988838344909279
-8.965,0.009495983142834615,0.06929718535884659,0.10687142591304123
-8.955000000000002,0.014252498026970983,0.10442183407103424,0.16109053638650903
-8.945,0.021083973649938113,0.15511471369691052,0.2393693860622963
-8.935000000000002,0.030743974389507128,0.22716517805837938,0.35067006517514915
-8.925,0.044192855493582844,0.328021218906582,0.5065296374280844
-8.915000000000003,0.06262821655495526,0.46706923578506393,0.7214979332331346
-8.905000000000001,0.08751017115114734,0.6558900888325607,1.0135402071699147
-8.895000000000003,0.12057727607573356,0.9084614240395944,1.4043583481794633
-8.885000000000002,0.16384844969388096,1.2412711412209518,1.919576271244238
-8.875000000000004,0.21960607923700526,1.6733041019183346,2.588730630703423
-8.865000000000002,0.29035591355699103,2.225864844927723,3.4450087791579946
-8.855000000000004,0.3787603673678958,2.92220410674598,4.524683381700715
-8.845000000000002,0.4875435676469446,3.786926867016953,5.866208132909913
-8.835000000000004,0.6193688068112914,4.84517442444788,7.508961600403331
-8.825000000000003,0.7766918824092472,6.121591935900166,9.491655260984182
-8.815000000000005,0.9615968499084393,7.639114478169498,11.85045511883307
-8.805000000000003,1.1756236620410292,9.417626942635849,14.616900733818648
-8.795000000000005,1.4195996379372788,11.472573448003821,17.815737212295232
-8.785000000000004,1.693488325757992,13.81360784284582,21.46280070287448
-8.775000000000006,1.9962697826715379,16.443385904593967,25.563112541450494
-8.765000000000004,2.3258653982295012,19.3566002681292,30.109338661574895
-8.755000000000006,2.679118085681306,22.539350066911382,35.08075783427377
-8.745000000000005,3.051835083401239,25.96891892206038,40.44285492711555
-8.735000000000007,3.4388960284246135,29.614008502951556,46.14761548685327
-8.725000000000005,3.8344237973283466,33.43544255438822,52.13454876691175
-8.715000000000007,4.232010346047389,37.38732084928742,58.332412075383886
-8.705000000000005,4.62498493020548,41.41856714207294,64.66155479960341
-8.695000000000007,5.00670812628499,45.474783061644295,71.03675053598465
-8.685000000000006,5.370872395003591,49.500293949815145,77.37034495060126
-8.675000000000008,5.711788811052649,53.440255419567485,83.57551918613702
-8.665000000000006,6.024640175016556,57.242682752842825,89.56945677250768
-8.655000000000008,6.305683030897855,60.86027029342993,95.27620792469367
-8.645000000000007,6.552385002111561,64.25188493671192,100.62906932244312
-8.635000000000009,6.763489056761202,67.38364586484653,105.57233890939852
-8.625000000000007,6.939002412645626,70.22953987167273,110.06236112747919
-8.615000000000009,7.080114266259722,72.77156482964202,114.0678436883004
-8.605000000000008,7.189052756511699,74.99943884853863,117.56949614536182
-8.59500000000001,7.268896883570724,76.9099544482001,120.55910556140364
-8.585000000000008,7.3233628474297445,78.50609032920043,123.03821736032253
-8.57500000000001,7.3565859082754175,79.79601323120225,125.01662248858706
-8.565000000000008,7.3729180626882425,80.7921053278128,126.5108595878209
-8.55500000000001,7.3767585242129305,81.51013705224341,127.54292030722189
