Energy_eV,Cl,Se,Zn
-8.995000000000001,28.87343449415712,42.24240953381684,58.91135460957537
-8.985,30.853786759328045,45.24669258969887,63.0541173337737
-8.975000000000001,32.702797086697444,48.057253836939054,66.91668355231901
-8.965,34.407659728303656,50.645578255656304,70.45815019897258
-8.955000000000002,35.963881870555554,52.99375446657999,73.65208934526763
-8.945,37.3751665079036,55.09472937917128,76.48683333699645
-8.935000000000002,38.65278127075291,56.951924036393585,78.96489734768508
-8.925,39.814513844275716,58.57832633290126,81.10171205573904
-8.915000000000003,40.883344043078736,59.99521224029929,82.92388611061638
-8.905000000000001,41.885972033016515,61.23065734667139,84.46722775485998
-8.895000000000003,42.85133201765039,62.317985625162635,85.77472889628129
-8.885000000000002,43.80919449085471,63.29426729079407,86.89466051096332
-8.875000000000004,44.78892383474499,64.19893044640543,87.87885737532294
-8.865000000000002,45.818418765923894,65.07250163102937,88.78119685537595
-8.855000000000004,46.9232279615371,65.95544789358014,89.6562145943907
-8.845000000000002,48.1258078854702,66.8870653545442,90.55776055090111
-8.835000000000004,49.444877939994804,67.90435107570387,91.53758862693397
-8.825000000000003,50.89483049696166,69.04080740817926,92.64379338982172
-8.815000000000005,52.485168413434096,70.32515808563736,93.91905403373381
-8.805000000000003,54.21996647168347,71.77999730404478,95.39871011222216
-8.795000000000005,56.09738061054184,73.42043895702108,97.1087640473465
-8.785000000000004,58.10925421561266,75.25287442374506,99.0639692281794
-8.775000000000006,60.24088897229062,77.27397582218236,101.26620778463669
-8.765000000000004,62.47105495495907,79.47009128205912,103.7033796671254
-8.755000000000006,64.77230856922598,81.8171661418158,106.3490092993661
-8.745000000000005,67.11166750101785,84.28128884541093,109.16272739045398
-8.735000000000007,69.45166072251243,86.81990579860745,112.09170794609997
-8.725000000000005,71.75173231928594,89.38368153489667,115.07304287991704
-8.715000000000007,73.96993516584925,91.91890740774986,118.03693087987867
-8.705000000000005,76.064809754898,94.37029301984121,120.91045701404151
-8.695000000000007,77.99731037879505,96.68391910598417,123.62165858280022
-8.685000000000006,79.73262047077966,98.8100968409591,126.1035227151996
-8.675000000000008,81.24169521562605,100.70587253948892,128.29755048666155
-8.665000000000006,82.50238482178399,102.3369413222583,130.15655455800095
-8.655000000000008,83.50002625121807,103.67878772232646,131.64643081032736
-8.645000000000007,84.22744245817893,104.71695074922266,132.7467521250092
-8.635000000000009,84.68435159799964,105.44640744049539,133.45016258352499
-8.625000000000007,84.87625741354167,105.87017149977085,133.76068779227606
-8.615000000000009,84.8129577866742,105.99729978678297,133.69120501740494
-8.605000000000008,84.50686240925397,105.84057667200472,133.26041905201038
-8.59500000000001,83.97134445057905,105.41419363846967,132.48975249418376
-8.585000000000008,83.21935858298019,104.73175114135674,131.40057304468826
-8.57500000000001,82.26253532675808,103.80487808717493,130.01214192883012
-8.565000000000008,81.11090968632018,102.64269291048106,128.34057938829153
-8.55500000000001,79.77336483455989,101.25222584198914,126.399014410988
-8.545000000000009,78.25877734132317,99.63979593775562,124.19893084166821
-8.53500000000001,76.57775029062354,97.81320354606686,121.75255884924363
-8.52500000000001,74.74472738422448,95.78447558348861,119.07600916793577
-8.515000000000011,72.78020755365284,93.57280339328915,116.1927266399017
-8.50500000000001,70.71273668495796,91.20725478731255,113.13676544660638
-8.495000000000012,68.58034842233126,88.72883261710979,109.95537213431439
-8.48500000000001,66.43116273693062,86.19149578803882,106.71040879851513
-8.475000000000012,64.3229269671097,83.66185264191915,103.47825509343654
-8.46500000000001,62.3213922339777,81.21737247260316,100.34798442677604
-8.455000000000013,60.497547065512144,78.94312455367749,97.41780082333425
-8.445000000000011,58.923865252741685,76.92722743763323,94.78992778691016
-8.435000000000013,57.66985061378345,75.25535444862103,92.56433577477179
-8.425000000000011,56.797262204706264,74.00477456553642,90.83185732707183
-8.415000000000013,56.35546672192886,73.23849425200893,89.66734785941516
-8.405000000000012,56.3773814811763,73.00009296728282,89.12359026546389
-8.395000000000014,56.876437629713266,73.3098072279262,89.22660475654978
-8.385000000000012,57.84491103120359,74.16231670079898,89.97291243506226
-8.375000000000014,59.253845059150215,75.52652991731827,91.32912166076092
-8.365000000000013,61.05463776548288,77.34747257342275,93.23397835461132
-8.355000000000015,63.182201598147365,79.55016889749471,95.60276953175887
-8.345000000000013,65.55944493287176,82.0451998850007,98.33372185743488
-8.335000000000015,68.10268889342683,84.73544495811774,101.31582254826886
-8.325000000000014,70.72753573294047,87.52338654679207,104.43733396879463
-8.315000000000015,73.35465775474712,90.31829539943068,107.59419477709936
-8.305000000000014,75.91498408550196,93.04262577058091,110.69750939793309
-8.295000000000016,78.35382589929301,95.6370330347075,113.67942344471875
-8.285000000000014,80.6335918364012,98.06357217918162,116.49685447823948
-8.275000000000016,82.73489164664227,100.30682702371828,119.13277502956265
-8.265000000000015,84.65599070210621,102.37293456540836,121.59500138645333
-8.255000000000017,86.41074214045555,104.28668174075692,123.91269734428495
-8.245000000000015,88.02526854326864,106.0870389837663,126.13102772168483
-8.235000000000017,89.53377543254737,107.82163581242276,128.30456706835676
-8.225000000000016,90.97394334603933,109.5407640940565,130.49016719772507
-8.215000000000018,92.38235867852218,111.29150828915722,132.74000493567223
-8.205000000000016,93.79040718903924,113.11255093624781,135.0954708922558
-8.195000000000018,95.22097549382822,115.0300958145343,137.58243269391843
-8.185000000000016,96.68619725144914,117.05520667063199,140.20823104889908
-8.175000000000018,98.18635730542864,119.18269591217577,142.96056800169865
-8.165000000000017,99.70994467923697,121.3915359103363,145.80824876087368
-8.155000000000019,101.23473834908934,123.64662417492566,148.7035643838383
-8.145000000000017,102.72972899423911,125.901626903005,151.5859700780936
-8.13500000000002,104.15763151010624,128.10256141418532,154.3866334643343
-8.125000000000018,105.47772779885318,130.1917582301099,157.0334013404031
-8.11500000000002,106.64879323085707,132.11186323915723,159.45575715886926
-8.105000000000018,107.63189556077654,133.80958989186456,161.58940341503506
-8.09500000000002,108.3929024169695,135.23899836785267,163.38018866191487
-8.085000000000019,108.9045831890606,136.3641505076209,164.78719238962663
-8.07500000000002,109.14823539473294,137.1610553269143,165.7848689564608
-8.065000000000019,109.11479961757159,137.61887307237453,166.3642246360452
