MO_Energy_eV,Cl-Se,Cl-Zn,Se-Zn
-8.999982963152641,-0.0013998456826996486,0.03630307665711896,-0.03851109939599263
-8.993279507510282,-0.0013187070348800658,0.04101729313144566,-0.037250319481046165
-8.98224123610574,-0.003993078825880755,0.03122536800289367,-0.03403079810382398
-8.981428180156492,0.0014842860985677022,0.04544037769991664,-0.025715288734512492
-8.97642332455378,0.0006289484217335302,0.04491447714625029,-0.022898617594518823
-8.95363152526055,-0.004880171286965222,0.03520351436120022,-0.008398611844425894
-8.944417602554042,-0.004642138728009539,0.02536952886202076,-0.010754744107175746
-8.930914959138871,-0.00540095306720034,0.03702988996662602,-0.034172758609588946
-8.92180318428321,-0.003254353637410732,0.02187238307589843,-0.0020726910473093064
-8.914124648790288,-0.002445964967590234,0.026833690680485658,0.0004275634105630286
-8.889454157829675,-0.0012352217337200386,0.022176779721577763,-0.030241289636314086
-8.883329712581556,-0.00153199902646873,0.02452481341994922,-0.028902744411415528
-8.87747758335112,-0.0016093070678757661,0.019534944360397436,-0.03717918920926261
-8.864802505999748,-0.0006699956688311106,0.04099989036055492,-0.02257768630630958
-8.84728868343314,-0.0012435488916919344,0.03619228187060831,-0.020552250416630294
-8.843927295876991,-0.0018973294915504149,0.02886711331929389,-0.03312073756499297
-8.83266388211923,-0.0008987927840982159,0.04068614962258298,-0.02280015228471693
-8.826847940768747,-0.002672936836189937,0.028971396305201774,-0.021641787502619685
-8.809409839497455,-0.0027457982568726753,0.02692530869928453,-0.026396963468955027
-8.801762180545468,-0.0032914356411515525,0.022714453657689353,-0.024454530854971897
-8.784797946214896,-0.001839333699560585,0.03507273077719088,-0.029440820514026193
-8.77076032123968,0.0020405524426652536,0.038964136001073735,-0.01414465081521396
-8.754721851751137,-0.000602676005009759,0.04537120551124896,-0.013260622573717396
-8.750188146293368,-0.00039296033309027214,0.044610328316127136,-0.016623890429612615
-8.743103427313232,0.001165073945425802,0.03441340221462738,-0.01723510658711682
-8.722517565048273,0.0010714497726822248,0.04675110798373634,-0.014184820596014409
-8.709936612149338,-0.0009247651536390225,0.037359707679178754,-0.02152293138475357
-8.702656372080845,-0.0017201402681311054,0.039485629451968374,-0.023610899404764654
-8.700895226640109,-0.0016300346182825506,0.041285758935701376,-0.025867488300210892
-8.698447890078349,-0.0011239006720357154,0.0366983553218285,-0.02162742720098628
-8.684795459919142,-0.0024488312733804735,0.02590588420184242,-0.040269560805032065
-8.680336348126442,-0.0007529591979626374,0.02756098327702556,-0.03929811567208307
-8.675181843303847,-0.000915645011343509,0.025619959959317023,-0.0243116848635678
-8.66900907172018,-0.003469122184749237,0.020145932688700158,-0.023317873842849092
-8.660686968718016,-0.0011686525657200364,0.03555801068878743,-0.010736536377736909
-8.656659170384826,-0.002346412161732008,0.024591138364891532,-0.02899620996319632
-8.65258569490388,8.717051681569261e-05,0.020445047771534088,-0.041388035135693974
-8.643972302146244,-0.0020714571095749937,0.02923457672031272,-0.006595100838609996
-8.636550933359157,-0.002613897363734563,0.023211789295194706,-0.010760626266865731
-8.635191503749782,-0.002665278396862095,0.025750855702430627,-0.008759816540582815
-8.629829938166312,-0.0041743428212174935,0.025046780465570025,-0.006836623564138921
-8.621431641851412,-0.002549915048060834,0.024793273694367023,-0.02556163454065916
-8.609698033725998,-0.004772390564459417,0.019005588022204152,-0.004152992551080917
-8.606324719487576,-0.004098716684624477,0.02953408473122293,-0.005490769763593999
-8.597623928761388,-0.002293716627912458,0.029482305467571645,-0.01786702767445116
-8.592904247080302,-0.003312799075204454,0.025524698484832627,-0.012228482342838895
-8.578019991251344,-0.002956633628008564,0.02989435781759621,-0.021632913452864114
-8.572361482135134,-0.002373630598591232,0.03213102699002247,-0.01611681562276555
-8.568022365836221,-0.002594526761742848,0.02382492887217499,-0.016726015745115803
-8.555723738389707,-0.003510414815834299,0.02226636800493452,-0.01628137767506413
-8.542994440500685,-0.0026444232879855936,0.01860899507107351,-0.00714581432176102
-8.532354887110978,-0.001999755650135281,0.0205844241836452,-0.0131502582512087
-8.526482580978957,-0.004576060035280239,0.015843221176089523,-0.005041306232285975
-8.525805350988493,-0.0038051598626843075,0.013093544047775107,-0.007430292812399904
-8.51615780698806,-0.003099035286172471,0.016580188580800428,-0.003938600590184654
