MO_Energy_eV,Cd-Cl,Cd-S,Cl-S
-8.999434399067862,0.04274194231672981,0.16076204650312848,0.004486089173296086
-8.997621149556933,0.040216113686091924,0.15468667156078786,0.005234965349661016
-8.985847544439128,0.036045143000119115,0.15447251645132673,0.004934097757039461
-8.978478684729112,0.04141136059532584,0.16173128864671035,0.0047266330365336225
-8.97268037897083,0.045905443802258694,0.15050505367011585,0.005447043504711726
-8.966218116264178,0.03900282475750971,0.15303351970206877,0.005574297681527732
-8.962343033531216,0.031901941275707696,0.16657689397216308,0.004834290308965772
-8.960737918045519,0.0516775736755439,0.14677004294711576,0.006089099882024167
-8.953890362322003,0.04027631596541194,0.14979552564494333,0.005790532037377539
-8.948248356732877,0.021831694107045302,0.17394660857375985,0.0036310970081401537
-8.943766797950477,0.044126238546645366,0.15920396231970413,0.005725068358056976
-8.938906431346467,0.03092418383806374,0.16872171906261163,0.004956837893531036
-8.930085080872407,0.031670108573871605,0.17288423843724984,0.004766424769218261
-8.927489816727592,0.060728999348950194,0.12849528344976788,0.006240429733256896
-8.924501839776562,0.04945645549117744,0.15423415206869334,0.005629212491586413
-8.92249730873217,0.02184198512511717,0.18421111519336608,0.003329894577659414
-8.915933757069888,0.030941252216361008,0.1703238970603116,0.0044607885686523616
-8.91400517452782,0.03329430231438921,0.16021731908291403,0.0047639784359585205
-8.907838536649168,0.03179086652424565,0.1699468627118717,0.004929072657465794
-8.899292503029121,0.027731661242541287,0.1729421868806889,0.004767122904107804
-8.897136602860822,0.05013206056891443,0.14174529637986064,0.0057762632360264365
-8.894447918067586,0.02664665602083427,0.1833360341014878,0.0033721487089717356
-8.892981122202679,0.037135790160522486,0.16494979759486045,0.006134118965379795
-8.889409601154792,0.024349274175765274,0.18877782694988396,0.0036669043908516743
-8.884927793871858,0.027765618258372846,0.1802861383830142,0.003865148289415437
-8.879822838047158,0.030577550158541175,0.1859478856444305,0.004427831192092686
-8.877961861521602,0.031002220831018126,0.1761675640051298,0.005581579116020973
-8.874375602856565,0.03395314223944285,0.17422913018791616,0.005535515910804765
-8.871963492928362,0.022207156606225225,0.19679065759006636,0.0030321633922402572
-8.867639401564459,0.023095036988473646,0.1897626745073571,0.0037405718861250035
-8.863549056352646,0.030566603090894276,0.18203510840139375,0.004705302357559013
-8.861996736605544,0.040249313546715466,0.15940610143566733,0.005678890032755208
-8.857201427428922,0.023388318260146194,0.2027363906377587,0.0036273768057256874
-8.855424140078233,0.024388646424392688,0.17991243894912837,0.004722425980206763
-8.855146656755899,0.023146617336648957,0.19309287260368968,0.0031715303881179025
-8.852447523443498,0.022770518362583703,0.1948020639599435,0.00400480283495234
-8.848193096413137,0.027113801526961016,0.1952563573227625,0.00424211374620819
-8.845616539299185,0.024040515111113766,0.1893355164197698,0.0037496460823234004
-8.845126029763437,0.015804582133026192,0.20906985935081493,0.002977809079629013
-8.841173705324842,0.029665443476663052,0.1932115343865932,0.0037254878241247706
-8.837768364166019,0.018224309987648058,0.20277222175998458,0.002963400541843407
-8.833096747423474,0.016688545186491748,0.1992729632648903,0.0026713792501128785
-8.831984062646335,0.022818258214034035,0.1872545688137456,0.003890412587457499
-8.829953575331288,0.015192717637186973,0.20552277147046025,0.002504774485597509
-8.825562577668245,0.014973517013449298,0.21499159077069563,0.002504502811070396
-8.820600158560794,0.01287421547246693,0.2107249552388082,0.0022602077536786882
-8.81638892154747,0.01610152088667942,0.20879544710666698,0.002356451705285682
-8.814845274800271,0.014200961260292291,0.2095888754401109,0.0018424955538208498
-8.81363743501415,0.01625470178320683,0.20097547133628932,0.0023374409139525465
-8.809684135249675,0.020272233223699816,0.1982531102034225,0.0032846408491470857
-8.806927514431557,0.017235371305160046,0.19630621580126795,0.003148698463076928
-8.804037174676564,0.012686209413060102,0.22302748713946305,0.0018823141713686462
-8.800444351231016,0.012339606098934242,0.2270998367168082,0.0016914202099838633
-8.797056411434697,0.009150731932166992,0.22444464806585443,0.0015189389742127565
-8.790098136299758,0.015369877260902377,0.20564973340838305,0.002751531522769674
-8.787448076825571,0.016807246212821984,0.20256274371918115,0.002504249362021926
-8.783277799781253,0.01338881168786458,0.20995622659075314,0.0018022126186954344
-8.782336610566563,0.012858980784893231,0.20949416532886156,0.0021776460565403324
-8.781747284699334,0.014496399741802637,0.2222332564857036,0.002389337530882489
-8.778657838349472,0.020574257852995808,0.19464911575563235,0.003071931694433264
-8.77685045314211,0.013694890757561631,0.2162283309984443,0.001953350318517417
-8.772290386326636,0.01875929246879079,0.20598974310825535,0.002214021022708933
-8.771831222690949,0.015931500626754705,0.21387197526808638,0.00202034854172693
-8.764385606495617,0.01114399120822159,0.21407183958371306,0.0018903927403758562
-8.762813832637915,0.01582637958770071,0.21936366578750588,0.0019344225278103192
-8.759915781095813,0.014167520240486326,0.2169582856851871,0.0021971431196745952
-8.756147305346841,0.015090712077749643,0.20715472006058022,0.0024653503761331184
-8.751638371355966,0.012985469913244757,0.21645853052674385,0.0021535375892817402
-8.750981208553418,0.01077684457249694,0.235855502215148,0.0020727374261757985
-8.747678189874264,0.02140650034655054,0.1962117835486855,0.0028694182070145113
-8.745720315769907,0.016033881796213956,0.20998301755059548,0.0021129029423356096
-8.7435362747549,0.0203408979213209,0.1848149796446243,0.0033640777524444644
-8.742370870973337,0.01162935727615218,0.22171034070195675,0.0016570911881234561
-8.739523463030052,0.011336051690232978,0.22105975877214423,0.0019774999910537297
-8.735521354134196,0.013764737733490531,0.22064567352115325,0.0023519082484783245
-8.732969643233693,0.021176659864422517,0.20167214824943558,0.0035638123215157615
-8.732008278462619,0.012153263535003568,0.22284845019260474,0.0017369879297776105
-8.727709826501316,0.012630111369348893,0.210890471613101,0.001953495083863523
-8.722127765994612,0.0168200689976521,0.19935644613769837,0.002317812516371178
-8.718355085260212,0.01665250712839143,0.2089762166864565,0.0024826000939767805
-8.718228670864775,0.012608066977835161,0.20719625194061198,0.0021640589120461
-8.71613216506835,0.01834316909567415,0.19502775211969814,0.0027533016466996995
-8.712970953309254,0.017302024852707,0.20124907351957425,0.002676617704970108
-8.710158991328372,0.014242383951042058,0.19986437950657823,0.002077307706206428
-8.706561254357734,0.020061810213790394,0.20034096598810694,0.003031274014437982
-8.704887111780792,0.02103256053782812,0.2055859447487617,0.002946578520430983
-8.701866790039668,0.019129258437374983,0.2043309552287315,0.0022995814709173834
-8.698294380129335,0.02140574168815992,0.1926486079666594,0.00313657206149405
-8.698101014208097,0.020935529214725326,0.19054417607351984,0.003152644515042844
-8.693840253847839,0.02604328048639755,0.18392039068311808,0.0035675352323874376
-8.691005339625224,0.013074363319372359,0.2005981321343087,0.0018194441398600599
-8.686794062516801,0.018780896851200327,0.1916374043233045,0.0028188705295330535
-8.683976192553196,0.01313674726027465,0.20373791863564397,0.0020344590906311993
-8.679731742213647,0.016173167355862408,0.1992897637568602,0.0030105084043610467
-8.675519608891094,0.011913222028595124,0.21039605935417152,0.002176089970329256
-8.670957184601336,0.010621317487371862,0.21085369322044345,0.0019473253863141343
-8.669595279898802,0.012747511583789986,0.2062575582761706,0.002078186160762481
-8.668396292942747,0.016599147825678166,0.18199699073019737,0.002641794441135647
-8.663103956459736,0.013960881085873103,0.19313595393245162,0.002363419352970232
-8.661043632290948,0.01732139660487921,0.1929564110098514,0.0027315112160149774
-8.655814852333684,0.019196462779965822,0.1782005674895251,0.0027563868207689628
-8.654714633568465,0.017419049366263817,0.17984611259114566,0.0027585427236243676
-8.651970559641793,0.017388492492591976,0.17725195367407962,0.002601656497438396
-8.64919215202841,0.016159719744949858,0.19374437611725676,0.0023874067249179632
-8.645200708746257,0.018845898373676544,0.17402638426664796,0.0028162232936200884
-8.63712627028448,0.015949597528571467,0.16772688162168392,0.0022204299249484667
-8.635423574990403,0.017237186616580018,0.1865233868951477,0.002669126934514841
-8.63235354583522,0.01639106800039966,0.1973192742641438,0.002132813209536247
-8.629824172013455,0.015873936736500168,0.20262759089857496,0.002309754164989011
-8.627782745358957,0.017108707951601212,0.17538118755398058,0.0026354259919894383
-8.624430652038663,0.019597591776820453,0.1702900717070422,0.002434956402922346
-8.620237013131343,0.01684868114828662,0.1703278629704226,0.0022526047267891892
-8.616383246718305,0.015633628437720398,0.1918374123776413,0.002065369203454393
-8.614626027843807,0.016121098374025745,0.17521436395140705,0.0020037440814045697
-8.605092669031862,0.015984722376567867,0.18869834979455333,0.0021839055744085237
-8.600396970555485,0.020159710743792802,0.14846589997502838,0.0024270785944250973
-8.597762879602243,0.015791459035462772,0.1867446571988347,0.0018849403520154945
-8.595097124745639,0.013535704105623263,0.18257306242137683,0.0019902550331640507
-8.592357995537796,0.016595143581920508,0.1826076853523943,0.00243033322908707
-8.592030122546676,0.01863516199570857,0.16446904836721646,0.002765236580596643
-8.587483773889181,0.01722057609342238,0.1738889259408859,0.002845734750943049
-8.581538903721064,0.020769313348778597,0.16811253476947796,0.00275705388819908
-8.577742647576423,0.01583122379700463,0.182877046009354,0.0018824847297748638
-8.576701839328386,0.020777149144820876,0.15530689993044758,0.0025898135286295063
-8.570345097833394,0.017011366217803674,0.17985916816845063,0.00220339226616435
-8.569291955764951,0.01686242244847264,0.177220189774722,0.00236210885005303
-8.56089895442163,0.020213585902355044,0.17068611569095218,0.002527634284250951
-8.554154664505806,0.017325740956500354,0.1778034167652142,0.002097145968978199
-8.55162232463551,0.02074602439017807,0.14110952262942586,0.00301530980707355
-8.549567930247658,0.024540350979583025,0.16583234051951448,0.003342834715731472
-8.545244206744776,0.029160496860844345,0.1517843304940513,0.0039055507861186795
-8.544380078828976,0.013079210271431871,0.17519077556480322,0.0016526173097696514
-8.541946495663696,0.016182862881326535,0.18241022425609796,0.0021543366725688406
-8.533521170247727,0.026325062911172106,0.13657851980475538,0.0032965400519073523
-8.526256765817621,0.02549758180662921,0.1510459168388397,0.0031456884497143038
-8.522011967657244,0.023460432955957167,0.1550800182082055,0.002746754928405924
-8.520769341818385,0.026746012699529604,0.13698315817799334,0.004338241733752548
