MO_Energy_eV,Cl-S,Cl-Zn,S-Zn
-8.998091475724413,0.0030075123216974906,0.0428001379994129,0.11525137509714924
-8.981750959858852,0.0035057938611425445,0.03358645227937066,0.10587330211778337
-8.97853533784925,0.0032531833894600963,0.03165510964988511,0.11306419665113528
-8.973303883264183,0.005179890679462845,0.03963189061641208,0.10817824677371803
-8.9605978888315,0.005890717391419332,0.04596340627623846,0.10475134165543505
-8.952456870848327,0.0037067867985011126,0.04044507636627647,0.10248065985560087
-8.94299559685909,0.0026922272081243647,0.03339730389516603,0.12075675345938079
-8.939759924515092,0.002390497936755619,0.0333567163340535,0.11414269279168497
-8.932473860168175,0.001997097709799114,0.02839540004890941,0.11281742335885693
-8.928985954234639,0.0011389174363582448,0.026476198333369914,0.11212907496597889
-8.921073787017594,0.0019205127625880052,0.03407746942945463,0.10876196116556427
-8.915503335367724,0.0023583056817456597,0.035002761188142294,0.121025593898427
-8.902792709361988,0.001916989934544368,0.03486115121071297,0.10318774419203959
-8.897883991052188,0.0006858625069298165,0.024757342247426255,0.12062291327285889
-8.88374350209766,0.002161250212372003,0.03148980809092129,0.0992221134029409
-8.879759162047993,0.0013075192295894005,0.02400615474904664,0.12526921758630621
-8.879559007341731,0.0003756359557559783,0.024903255790741353,0.10523230294183268
-8.867595068551799,0.0006223763532632294,0.029081114170336885,0.10004826325996435
-8.865871599211381,0.0027246471089316707,0.03140477511431763,0.08882277077823271
-8.854498196403554,0.000415001782907398,0.02315951407898258,0.10452841802971759
-8.837354426758798,0.001333803374332879,0.03197410018367642,0.08071132389769252
-8.827818407302248,0.001820037331295452,0.026588136445395996,0.09327537136677734
-8.82322669600554,0.0008844372988650841,0.030897569266605265,0.09616231607539466
-8.813592841687159,0.0026646306151550756,0.029429729274614354,0.09691118813341758
-8.805813688224882,0.0012424531444290374,0.02493454647275385,0.11385778578104613
-8.796224682447882,0.0007904904955255515,0.026297806025844885,0.10700461450756273
-8.786851788022938,0.0014207907312410051,0.020356006916998827,0.11571127574858665
-8.775619282259047,0.0014819865067972554,0.01855488066314124,0.11356926219198944
-8.763827471787822,0.0005810848863617222,0.031182811854378704,0.08870765660346651
-8.761850568567555,0.0014130105399036293,0.02783295244880199,0.0967577453179375
-8.75413143033075,8.309052882452759e-05,0.028734709507690845,0.07385632261089699
-8.741598297960977,0.0018501518444386455,0.02558975818252496,0.10124933927482581
-8.734637321444513,0.0017267259544314754,0.0223564983691671,0.09934325062026043
-8.730493938584239,0.0003319057531592685,0.022001101249836223,0.09396177774568296
-8.711248034021741,0.0009165395256766985,0.023731405031622695,0.09037587307156451
-8.704713693263564,0.0012341801403893034,0.02279209101781327,0.09689757778355278
-8.698831974902097,0.0010615688123923556,0.028116185092891457,0.07661467876891881
-8.698045114554143,0.0003599663214377666,0.022349712841171918,0.08208302107402855
-8.691168786234293,0.0017046604709955837,0.01925664093199923,0.0937052655070739
-8.688679302322898,0.0004492706040214897,0.026796512823404717,0.08838281448351128
-8.671803876737847,0.00012148146922101848,0.028326071705881653,0.09531165656664926
-8.664617359392201,0.0013913602676299602,0.024651682509774765,0.07951337595130241
-8.652605007001833,-0.0004428473132407659,0.028183052369557402,0.09924875158171267
-8.648579082902376,0.0018003498515464142,0.021288648174662094,0.07581220430721955
-8.637532781275164,-0.00025703574455836437,0.021893927067339333,0.0816533127572591
-8.636105794499487,-0.0004904657333291286,0.02469899173721974,0.07338679167467178
-8.623328510414641,-0.001075791127287458,0.01861687153516545,0.07702930485498209
-8.614202358702745,0.0008579579528086298,0.024798915717173818,0.08900558401855742
-8.606096668973565,-0.00023982603627632982,0.018714331823926872,0.08189883748153036
-8.604722500498495,-0.0005380070530891784,0.020343799231795072,0.07129341136225435
-8.599217898987693,0.00047635891633964346,0.01801673337292284,0.0871792045291055
-8.588464449431436,-0.00029075208374914463,0.02517831750553092,0.0829618986368586
-8.584584330182105,0.0007463734292191798,0.022735899075079575,0.07933193624448528
-8.569912498093684,0.002056956742708851,0.02817854302907983,0.06893349066938338
-8.567911638724928,0.0005892085837961197,0.0249373843746351,0.08110707916289953
-8.559089694624648,0.0019580443626775134,0.025167715549458104,0.07192532155202959
-8.5545000824082,0.0015844198263685418,0.032730025974663006,0.06536641791601513
-8.549633237148022,0.0020055414489949237,0.025592636764194657,0.07898870455076365
-8.545157555758543,0.0009016926942331877,0.025051315008638823,0.07358410215417022
-8.542937756921775,0.000510681566075738,0.031436290170799894,0.06497492523179545
-8.533812301114589,0.0007364238105956479,0.0170423286826461,0.07629004373389883
-8.526643999374247,0.0023352535881409004,0.025765032016059855,0.07130780694761299
-8.522775722533844,0.0026061143227836046,0.03242823609860708,0.06599445391151103
-8.519455755233095,0.001096002571952917,0.023503590469458338,0.08174737924850012
-8.514212806902812,0.0003596326553870605,0.02801991720753558,0.07277915745384789
-8.511756906976322,0.00254278239566598,0.030912397417973393,0.06607892773231923
-8.505862847812121,0.0030388228019370884,0.028904322533193756,0.070013929428663
-8.498432407402904,0.0018268752789914002,0.0297749174533596,0.05874140191484973
-8.494794393586156,0.003272243180174539,0.028913858267947838,0.06443923438617664
-8.49267655492622,0.0008278236349175048,0.02754584190764618,0.07305546845712149
-8.487741838253376,0.0022386062316308232,0.024859980652080706,0.07047731448441073
-8.480671982302278,0.00041500851060890804,0.020518891147939148,0.0785423710047023
-8.472040637274965,0.0021688354717390723,0.029701228424778202,0.06109525246222127
-8.467755795093991,0.0028227754912628516,0.02280213801457583,0.07285585808734778
-8.463945668285465,0.0019190993480757783,0.029980785060672248,0.06452586051132532
-8.45912902292208,0.002073720787200149,0.031194920696534637,0.07063422748295586
-8.456290682349724,0.0020877681092896995,0.02746970410311278,0.06791942971467234
-8.450697784029012,0.0031828414457941065,0.022105993772422033,0.07076625503803875
-8.444991605439691,0.003953683722974303,0.02123840502859989,0.0682951327469984
-8.441234225916059,0.0018938652227733505,0.027651929186722924,0.06138142968500975
-8.436100009846633,0.0020058289077848806,0.029301643596381075,0.062427061010876736
-8.428592055500705,0.0021095290979939413,0.02826594147722573,0.059762727453118156
-8.422996741320125,0.0012218864927973606,0.02975862468837635,0.061556115717457824
-8.414959176989964,0.0010832843800595235,0.024473355254017247,0.0639911205737454
-8.405078808250327,0.0016204164955207472,0.025426744375037162,0.06774301042853251
-8.399511374807897,0.0018365131234025316,0.02416756420319188,0.06093817558552943
-8.39797038223094,0.0020790085221912423,0.027136138445683317,0.05869255128016697
-8.393656894732706,0.002301197600785194,0.024206457787416633,0.0611745969630573
-8.3901091092435,0.0017784482193416223,0.02477075126377187,0.06571598384809126
-8.378015342033471,-0.0009112982941806433,0.022126797656522798,0.06737085237211077
-8.373947114782494,0.0018685169725994022,0.03168872713009104,0.04843647458614706
-8.367663446892008,0.0020983984829409897,0.025808033350623632,0.05547205089020233
-8.364257408163212,0.0014328496044089965,0.023287182423552114,0.06100802473499753
-8.357810927940971,0.0026228367876301923,0.017403109249403477,0.07090949016161337
-8.351880726196551,0.0020074181029671873,0.02539481086997067,0.05446224436683079
-8.349709049406057,0.0006318596401170676,0.03279010927076215,0.04324993228259768
-8.346980345388442,0.0011908359082567744,0.024292522499729654,0.05338882883618907
-8.335603665880797,0.0026556484620486793,0.025769085576470417,0.04591446617860429
-8.332195390383259,0.001504572579602655,0.027520486350767447,0.05150773893316214
-8.329943975337198,0.000594578601650945,0.02121668694501124,0.05767050976073793
-8.327091904347604,0.002455149948694438,0.030651274939936454,0.044755797649435006
-8.323834321176223,0.002891226356622263,0.023252707762598922,0.06526625171894423
-8.314208776886938,0.002446067990935958,0.019829319615841702,0.06036313297978312
-8.304545236637516,0.0027901973551981234,0.02747006725007759,0.058069414488975804
-8.30139557757682,0.0013096666729820422,0.02274672105883019,0.05093786023937022
-8.290661750654456,0.0022911912219892878,0.01674934024123162,0.050676395702926424
-8.288227752860717,0.0032532079155273242,0.026957843764738254,0.055978180523701106
