Energy_eV,Cl,Hg,Se
-8.995000000000001,0.018622673869072074,0.02509754642201993,0.04635779201309306
-8.985,0.028274763188296324,0.038103036745179196,0.07036810214928652
-8.975000000000001,0.04226851994253131,0.05695641478921817,0.10516393470768709
-8.965,0.062216663547086694,0.08382807538590183,0.15473944052032138
-8.955000000000002,0.09017389243783148,0.1214818010584959,0.2241738364272806
-8.945,0.12869301618680867,0.17334900692645341,0.31976172777781947
-8.935000000000002,0.18086240079252436,0.2435770832083209,0.44909209821509427
-8.925,0.25031335434499913,0.33703622444227715,0.6210457533366743
-8.915000000000003,0.3411854506355524,0.45926821815626595,0.8456789827813134
-8.905000000000001,0.45803873740097406,0.6163618842993961,1.1339631622666277
-8.895000000000003,0.605704777012662,0.8147438640790016,1.4973572383687905
-8.885000000000002,0.7890737875457605,1.060880635270279,1.9472033398957598
-8.875000000000004,1.0128227115685968,1.3608979017192033,2.493955133724878
-8.865000000000002,1.2810982947172334,1.7201361670645219,3.1462728538137497
-8.855000000000004,1.5971791411684997,2.1426749533445926,3.9100457429382276
-8.845000000000002,1.9631496834621045,2.630870706183374,4.787428274263724
-8.835000000000004,2.3796251987293,3.184962438543649,5.775996378066658
-8.825000000000003,2.845568535597107,3.802802040363626,6.868139146549508
-8.815000000000005,3.358234561699366,4.47976080664406,8.050795923554592
-8.805000000000003,3.9132667635039526,5.208849009869863,9.305625745563518
-8.795000000000005,4.504952347503281,5.981061673052595,10.60965578226952
-8.785000000000004,5.126619394347221,6.785933304010183,11.93640087673979
-8.775000000000006,5.771135229353448,7.612251228582011,13.257383865584634
-8.765000000000004,6.431443313990046,8.448846670410008,14.54392503501758
-8.755000000000006,7.101061113521622,9.285360778720488,15.769019141673304
-8.745000000000005,7.774457544903895,10.112874768117832,16.909089754713634
-8.735000000000007,8.447238336434436,10.924302832414089,17.945410682938107
-8.725000000000005,9.116091323108343,11.714474383625605,18.865016145555956
-8.715000000000007,9.778479101658888,12.479875919511308,19.66098295976291
-8.705000000000005,10.432108721336657,13.21807654251675,20.332051613430465
-8.695000000000007,11.074250346987112,13.926916310269842,20.88164628776516
-8.685000000000006,11.701011390127015,14.603583420126938,21.316441650040368
-8.675000000000008,12.306692336922005,15.243735520932942,21.64469153916387
-8.665000000000006,12.883350369309778,15.84082547899019,21.874569428929586
-8.655000000000008,13.420675140393309,16.385770008647324,22.0127660884671
-8.645000000000007,13.906239934315224,16.867052898920168,22.063546386189426
-8.635000000000009,14.326136929553396,17.271290088728414,22.028391986190485
-8.625000000000007,14.665946275161469,17.584212192250376,21.906262834173532
-8.615000000000009,14.911935329340839,17.791953611307395,21.69441419360621
-8.605000000000008,15.052346160993832,17.882487804181416,21.389624057191696
-8.59500000000001,15.078613161820106,17.847024345024412,20.989631414186075
-8.585000000000008,14.986361246014287,17.681189097477937,20.49456684949249
-8.57500000000001,14.776066893105888,17.385842578984697,19.908174055144084
-8.565000000000008,14.45331318988045,16.967446629925398,19.23866798131316
-8.55500000000001,14.028626948724728,16.437955247151336,18.4991412025448
-8.545000000000009,13.516940601379243,15.81426971328164,17.707500623785645
-8.53500000000001,12.93676443509387,15.117349654222364,16.885978294326442
