MO_Energy_eV,Cl-Hg,Cl-S,Hg-S
-8.71485549141738,0.04964617071432641,0.0024762703824665598,0.17946483859988144
-8.706104740771337,0.028194679861174618,0.002275387025781783,0.19261073007278146
-8.697676287230493,0.02698312832289914,0.002086320561564086,0.19485773795821804
-8.678925342109453,0.02150243759651034,0.0017365941014035081,0.20561289182915712
-8.672513275796298,0.03382253799349335,0.002370856049240878,0.1836726062566901
-8.656266729698293,0.03156289999046825,0.0021157531247910674,0.1939003606417803
-8.646819190691634,0.01900682621951998,0.0015951699798843393,0.20412186121535833
-8.642202475687075,0.02865098190615528,0.0021736898903194557,0.18946081893131747
-8.638111878915108,0.01819956973645246,0.0015270223193580422,0.2026445126147774
-8.624452131601567,0.03073709672844931,0.0018778436123492884,0.18922999203074187
-8.617811908910296,0.022537803343337142,0.0018613969112564824,0.20005886998267025
-8.612020439481054,0.022551766629891747,0.001830093619350298,0.19578461092270757
-8.607326502964266,0.02086677496647978,0.0015318243516753082,0.20181312350211483
-8.605756379456427,0.013870020456990996,0.0014940767049770505,0.2046282781435311
-8.600122520832507,0.020420611203210863,0.001702631590309555,0.19897410076069702
-8.589197056940424,0.015602212742055682,0.001408575870853357,0.20382131430946712
-8.57791259923811,0.01705746869699675,0.0014999757425922372,0.19277313909249824
-8.572335222357745,0.013834163074384502,0.0012602023258984564,0.20409411870969044
-8.569619962090435,0.0219667700324009,0.0012816679365918516,0.19620088762909
-8.557210609474641,0.016094232924902748,0.0014442871125025095,0.19623227967345536
-8.545210388126947,0.013635580747668082,0.0009848655000538429,0.20546819020451154
-8.534480544734992,0.021195572182297444,0.0014727066527151355,0.20055997224666228
-8.53387053131354,0.019237479524754405,0.0014647467068862091,0.1910927027120234
-8.524714809528248,0.011205774215203095,0.0009369018680559227,0.21146271037559394
-8.516205376280487,0.026989374486807292,0.0013246129497495708,0.18851958782375003
-8.513898406181909,0.023009153548743357,0.0015965228384655554,0.19261533499870537
-8.507626901326669,0.012686870854468667,0.0009480733998957923,0.20878806022032842
-8.49895077341739,0.03257568107419174,0.002226003933797423,0.1774085351935056
-8.493318792808887,0.02331640050220368,0.0016160995033479351,0.18886388805365967
-8.479685697997155,0.01770748404897467,0.001229520448994659,0.1987752999584266
-8.477815653706246,0.022720066707600878,0.0017024603643682392,0.19060433058311008
-8.470610939496323,0.028588285953310453,0.002105252398815623,0.1869066730857521
-8.466024528598377,0.019217515232526784,0.0012900722135751848,0.19176938393334986
-8.454195178210332,0.022648009976917034,0.0013778736045542233,0.19009051756549425
-8.448615147971378,0.018412449163249432,0.001544494260767375,0.19203856716907677
-8.436980570066366,0.02041536142130112,0.0013705118386766457,0.1871106749894995
-8.4334356126081,0.030587852737324762,0.001802653761303573,0.18242372547619945
-8.420944748888843,0.026762868285658343,0.0017388482737948653,0.18128382857198996
-8.411778088410788,0.02047694823046638,0.001684847315165985,0.19085804213749913
-8.39809978335271,0.024319431138689753,0.0015548342299440611,0.1825401089015142
-8.376010874171055,0.04075677896923555,0.002317393711505186,0.15077222793611963
-8.363722258755793,0.041856044732766155,0.0022429015465232588,0.1553620348207026
-8.3505787875821,0.04125374150896374,0.0022970649487499884,0.15187034826888407
-8.347045164082298,0.04808236697564844,0.0026723518310436045,0.1464949953397033
-8.341218954692343,0.043447299462898895,0.0028285616162455536,0.13690715292939581
-8.334140043581879,0.04064883434535099,0.002284294418636206,0.1401432567753522
-8.331232547798134,0.03575112470045155,0.0021987183698895275,0.1396560546692885
-8.328258921503842,0.03850572042981192,0.00242924777576261,0.13503320375917058
-8.316103974901027,0.04149643275612791,0.0026189671446359185,0.13102561418233094
-8.30814777925965,0.04643518926203314,0.002216083903660276,0.12829516698282706
-8.298633905029854,0.04179871517507138,0.002030170249046267,0.13307531284697852
-8.293988641827914,0.04269278036360542,0.0020654397099516887,0.1363701822706824
-8.285950357266994,0.051134872402149936,0.002306022100152626,0.13489959093024034
-8.273896866616608,0.03924075593468961,0.0019295228699393676,0.13074933163980035
-8.262140577103619,0.02853987216102547,0.0016584882008064952,0.15450490193724817
-8.256609110370523,0.03952666074778662,0.001947602574514865,0.13822327580898425
-8.24966391113267,0.026873866540751547,0.0017299360198735436,0.15181949796766955
-8.23160545558611,0.04691624294734926,0.0022190155345689724,0.12204069893346316
-8.227611862821911,0.03790873297235899,0.0020167975346339277,0.1343021094763175
-8.22199844529043,0.05149277837524507,0.002448337315856703,0.126385662011199
-8.216016521749776,0.03868970198424429,0.0022630674898172715,0.15212518163048933
-8.213269021451806,0.04754231083587179,0.0025878422170227187,0.1311404018221488
-8.20252268751591,0.039199126615356114,0.002179886345662399,0.137875876584882
-8.192340231391004,0.04970662998540562,0.002450447891930521,0.12773026142209917
-8.176699709012501,0.05435320879712837,0.00278475510572931,0.11414669240642165
-8.16861440449863,0.04837280066044746,0.002602205368319422,0.11841388749326696
-8.167116158195627,0.042878358970344935,0.00173804415885381,0.12466718232601384
-8.153592179188156,0.04574592421055975,0.0025415647949746174,0.11199142674059032
-8.150614588311203,0.0513845525386764,0.002716406486343601,0.11668360114426689
-8.143481643734107,0.04397336828259769,0.0024581613872196595,0.11041385355697542
-8.136232979563687,0.05334241462318128,0.002800660552880496,0.10726520515598414
-8.126101217301896,0.042939694716227286,0.0024208202498767076,0.11325542034890994
-8.120429505056268,0.04858038353947826,0.002515903312381732,0.1085099082166513
-8.114876115516406,0.04515354089335157,0.0024920289527783795,0.10467899902335435
-8.109534857575705,0.0484193128934063,0.0025728185882264876,0.11407205369154785
-8.105872544553828,0.05209363861981827,0.002622220897052435,0.11230619955040094
-8.099706948145684,0.03687340023353986,0.0018487523671168807,0.11667456939757367
-8.088217885600505,0.05078815285996379,0.0025859095756104442,0.10868837142788805
-8.08707517301973,0.04862263894443543,0.0021673940138162533,0.10329697241723318
-8.081082088013831,0.04379154697725164,0.002310879299163746,0.11456901924780018
-8.075179299842041,0.04403634650341252,0.002084752861811584,0.10258470235742019
-8.06560694386279,0.05486991789534362,0.002430912313651865,0.09599502888565023
-8.06393464036841,0.051149185070666466,0.002245901575805438,0.10022494567510233
-8.05898500838915,0.0525825353663793,0.002285014322206904,0.09729243418464728
-8.054210920543861,0.04312808773596207,0.002088770475386071,0.1089920016157194
-8.04964136261136,0.03524874604113143,0.001768425627676897,0.12114871307737976
-8.042112988637378,0.05420675828623207,0.002761399993164954,0.09837911428673143
-8.037396439287765,0.04691666032120697,0.0024753731094398056,0.09699455291753106
-8.031220446418395,0.04107780411118385,0.0018293035379817683,0.11147904242288079
-8.02645288046783,0.0448193568513833,0.0015242568260795718,0.11025175539699839
-8.021024970429062,0.051105303194130015,0.0015424745938285964,0.09252697871565506
-8.01923789373786,0.055201980757209605,0.0021972716995995265,0.08917748268812277
-8.013015496422199,0.055696508176249174,0.0020991001455125478,0.08265920892090974
-8.010856149552996,0.04488378438949417,0.0015974457741265416,0.10333735211748148
-8.008801937645998,0.0388585532236086,0.002149894758230293,0.11832849541241944
-8.00091202473214,0.047432993558402296,0.0024587125867944633,0.10196263814494262
-7.998343711121663,0.05181200645565426,0.0023626689821380715,0.09675876799345605
-7.986549740659218,0.06571465174297748,0.0026995036914862773,0.08722992162019569
-7.979023980024538,0.04721630226717317,0.002347931573977222,0.09832230364716445
-7.972580528655665,0.055454917816661176,0.0021674169131969696,0.09405544116719873
-7.96180181121339,0.043204921431572715,0.0019844495234625005,0.10877608002707598
-7.957801526062534,0.052822943797351155,0.0024662846224817532,0.09834687984670248
-7.9511850321610655,0.04704117661039415,0.0021326411172922135,0.10381097098286851
-7.939110771583252,0.04895049899821271,0.0017190115646579076,0.09343449725144437
-7.935731187832797,0.034914316528698155,0.0017067564281745271,0.10922549013130343
-7.92195526020992,0.05778717591744466,0.0026067541240842296,0.07574122381324362
-7.918139125134966,0.05549238795257964,0.002071739920863541,0.08501239247362745
-7.912091099196549,0.039294005477094364,0.0021781909168325305,0.10324051895844331
-7.903721944780379,0.05403434615483748,0.0022422118113627995,0.09103470153998966
-7.898203615847662,0.0527418077864065,0.0020371785996304245,0.09060373959810189
-7.891080320236348,0.05481967477280263,0.0021484495653994826,0.08563984245782226
-7.887153012657665,0.054019267121526895,0.0023590821673180255,0.08631168092276789
-7.882710659657719,0.05572761117864366,0.002364819815786997,0.08203628604737975
-7.877874621421764,0.04302713700831736,0.0019257159913467858,0.09649144734805665
-7.865074060921145,0.05466596866427132,0.0018759077130691792,0.0856911627151237
-7.857659219268632,0.04562338745666038,0.0018441286041937397,0.08846713055762372
-7.84749976948696,0.050093669884620426,0.0021318010279470626,0.08792524205942819
-7.836248034982751,0.05069633395463452,0.0016492118627508662,0.0725147154284863
-7.82635409169148,0.045401808294268195,0.0020863448871850164,0.09497397770108382
-7.821551890728826,0.05348922245902939,0.0013936353672040016,0.0680612218707037
-7.81785443528911,0.05166226412486003,0.002165163287341056,0.08229545808251651
-7.8098641338710735,0.04989651741855359,0.0022505225709434314,0.08551861840536587
-7.787778216027157,0.045786713008330204,0.0020175291571986214,0.08614003704158289
-7.784239644422472,0.05474035695560449,0.0015483804815030003,0.06479795475556303
-7.7750267467874625,0.05041225518580403,0.0016934673580039864,0.07656861005218688
-7.770050200409651,0.0631229485152282,0.0019305581941156912,0.051077139271780043
-7.756716801559312,0.04578496429632063,0.0017094974049361785,0.07459328216228153
-7.74458943526751,0.052603827706316234,0.0016883008312601978,0.0693369469243771
-7.738058062761715,0.049139857436647755,0.001736937980420689,0.06884121397579517
-7.728916771065965,0.05431646112416248,0.0014713392323352555,0.053988182236542136
-7.715655192400421,0.057160123807444826,0.0016684040035244466,0.04924156014002012
-7.708021542849355,0.048782665771449255,0.0015979139343827132,0.06326586118845769
-7.68859308814147,0.05149780542794612,0.0010636328645645156,0.0606050949581325
-7.673223552854858,0.058225423678189864,0.0011721488039998977,0.04918010222922856
-7.671446481454028,0.04775550022617766,0.0014885714702397835,0.06551804342808086
-7.625940368258843,0.053313960164957756,-0.0003897836114342405,0.01952882415387342
-7.61753393897662,0.05248040052432698,0.0006772743838052542,0.03910458017627449
-7.6064179492359045,0.042065067328500155,0.0002769582123205993,0.03406375314298052
-7.598115738951484,0.04743670968400889,-0.0002338769872511589,0.018051088970519626
-7.586881961133925,0.047356310699761726,0.0007899572557051132,0.05212065041934969
-7.568516649411273,0.04960031736768074,0.0005729481135843888,0.0438167969751779
-7.56265749494867,0.04776130502252903,0.0008986964045916212,0.041834036823409464
-7.551074540002293,0.04647005152320891,-7.227147688883128e-05,0.031557177084848426
-7.542496544232345,0.05192950167698513,-0.0001353718609647291,0.03864281104181925
-7.528073049464178,0.04599360217578183,0.00024255511112169877,0.040006069006490105
-7.508878536094963,0.041735856261261944,0.0005473945298798233,0.019740164893359845
-7.495366595466127,0.03970855585520471,0.0003514383439812551,0.023233845752196548
-7.488747592070784,0.038164514700343696,0.0008545667177255672,0.01825319082532245
-7.472651076727991,0.03678545526506617,0.0009768083466537112,0.051116581927395134
-7.468665006586835,0.032465932949898975,0.0006856334683513443,0.03937571144369683
-7.457126557730657,0.04275640872617326,0.0004133373040148334,0.02428203166404758
-7.450142584259036,0.036859612614815435,0.0010532314903078876,0.02933708249562309
-7.435733392233101,0.04595034166989772,2.175942980167286e-05,0.023507268482829996
-7.42155096641371,0.046836785033031535,-0.00018181463528237814,0.007341788434763976
-7.386485498515283,0.026643236946012,0.0007644764090045704,0.028098561514529018
-7.381795421508984,0.03976829955674621,0.00043260149296672865,0.008130007908486793
-7.37393410623376,0.03380667124196705,0.00029829063492425065,0.011292995733458705
-7.355630823686092,0.029542529884902496,0.0007616250945447575,0.02711241931325443
-7.327794460611843,0.022260226120364265,0.0004294311926024496,0.030362132571446748
-7.312297701974551,0.026756445762126296,0.0005484280151668137,0.04016943964950056
-7.184740091346552,0.029860897135730338,-0.00040143247454726966,-0.030331551256609544
-7.159833421714815,0.028165924722261832,-0.00015748918933224573,-0.030300049309032562
-7.145634392138874,0.031904204339600055,-0.0002459287185082178,-0.030323278304361604
-7.115966409747074,0.028577507613982783,-0.00034088434160337564,-0.03476798156468197
-7.105825459514436,0.03345851081456577,-0.0005280381209190647,-0.03303376842078586
-7.07457206924186,0.030731395023711163,0.00014363365073708886,-0.029236526998270434
-7.066243177941787,0.03222543222593492,0.00453788132288756,0.1345678974459146
-7.062275108436491,0.03251866819011463,0.004630081779611068,0.14041401633192002
-7.045816958858356,0.04351231242484917,0.000589998906756628,0.11851175759486862
-7.03276717490303,0.04541040730843073,-0.0002953436457367582,0.10933851805909886
-7.02987770601069,0.03478826381729452,0.004118108550994562,0.1371753820214567
-7.016122123610354,0.04564027647281023,-0.00042233731301111264,0.11143594649760562
-7.005438618564613,0.03439104369723431,0.004162384657421334,0.12642471782912293
-6.998845643844521,0.043353717075885964,0.00031359404878593134,0.09935104354083288
-6.9451054441628655,0.018505542194990024,-0.00038770330059586725,-0.012647624284751025
